"list","gene_n","mean_GC","mean_size_kb","median_size_kb","mean_exons","pct_protcoding"
"siC_sense",9356,47.45,66.6,31.1,19.5,88.8
"siC_antisense",2502,48.57,66,21.1,16.6,70.9
"siUAP56_UP_sense",449,41.65,202.2,110.4,19.6,78.6
"siUAP56_UP_antisense",141,42.26,87,26,10.4,61.7
"siUAP56_DOWN_sense",875,52.9,47.7,21.5,24.6,89.8
"siUAP56_DOWN_antisense",118,54.28,37.5,11.3,11.2,65.3
"siBRG1_UP_sense",1831,54.3,46,20,22.2,91.2
"siBRG1_UP_antisense",322,55.49,27.9,9.9,14.2,70.8
"siBRG1_DOWN_sense",167,40.73,96.2,48.7,18.3,91
"siBRG1_DOWN_antisense",37,43.08,141.5,30.3,18.4,75.7
