"group","variable","n","shapiro_p","normal"
"siC","percentage_gene_gc_content",2502,5.03e-22,FALSE
"siC","length_kb",2502,3.09e-67,FALSE
"siC","exons_n",2502,2.53e-61,FALSE
"siUAP56_UP","percentage_gene_gc_content",141,2.98e-07,FALSE
"siUAP56_UP","length_kb",141,4.63e-18,FALSE
"siUAP56_UP","exons_n",141,2.7e-11,FALSE
"siUAP56_DOWN","percentage_gene_gc_content",118,0.407,TRUE
"siUAP56_DOWN","length_kb",118,2.64e-19,FALSE
"siUAP56_DOWN","exons_n",118,3.16e-11,FALSE
"siBRG1_UP","percentage_gene_gc_content",322,0.00201,FALSE
"siBRG1_UP","length_kb",322,2.75e-28,FALSE
"siBRG1_UP","exons_n",322,8.48e-22,FALSE
"siBRG1_DOWN","percentage_gene_gc_content",37,0.0178,FALSE
"siBRG1_DOWN","length_kb",37,1.96e-11,FALSE
"siBRG1_DOWN","exons_n",37,2.59e-08,FALSE
