"group_a","group_b","variable","median_a","median_b","p_value","cliff_delta","effect","p_adj","significant"
"siUAP56_UP","siUAP56_DOWN","percentage_gene_gc_content",40.33,53.89,2.95e-24,-0.733,"large",2.66e-23,TRUE
"siBRG1_UP","siBRG1_DOWN","percentage_gene_gc_content",56.08,40.71,1.35e-13,0.743,"large",6.08e-13,TRUE
"siUAP56_UP","siC","percentage_gene_gc_content",40.33,47.73,1.28e-18,-0.44,"medium",7.68e-18,TRUE
"siUAP56_DOWN","siC","percentage_gene_gc_content",53.89,47.73,1.27e-11,0.368,"medium",4.57e-11,TRUE
"siBRG1_UP","siC","percentage_gene_gc_content",56.08,47.73,0,0.433,"medium",0,TRUE
"siBRG1_DOWN","siC","percentage_gene_gc_content",40.71,47.73,8.15e-05,-0.377,"medium",0.00021,TRUE
"siUAP56_UP","siUAP56_DOWN","length_kb",26.04,11.25,0.00573,0.199,"small",0.0103,TRUE
"siBRG1_UP","siBRG1_DOWN","length_kb",9.91,30.34,0.000505,-0.349,"medium",0.00114,TRUE
"siUAP56_UP","siC","length_kb",26.04,21.07,0.318,0.05,"negligible",0.358,FALSE
"siUAP56_DOWN","siC","length_kb",11.25,21.07,0.00103,-0.178,"small",0.00206,TRUE
"siBRG1_UP","siC","length_kb",9.91,21.07,2.5e-11,-0.228,"small",7.5e-11,TRUE
"siBRG1_DOWN","siC","length_kb",30.34,21.07,0.16,0.134,"negligible",0.206,FALSE
"siUAP56_UP","siUAP56_DOWN","exons_n",8,7,0.879,-0.011,"negligible",0.879,FALSE
"siBRG1_UP","siBRG1_DOWN","exons_n",9,10,0.289,-0.106,"negligible",0.347,FALSE
"siUAP56_UP","siC","exons_n",8,10,0.00647,-0.136,"negligible",0.0106,TRUE
"siUAP56_DOWN","siC","exons_n",7,10,0.0249,-0.122,"negligible",0.0373,TRUE
"siBRG1_UP","siC","exons_n",9,10,0.136,-0.051,"negligible",0.188,FALSE
"siBRG1_DOWN","siC","exons_n",10,10,0.532,0.06,"negligible",0.563,FALSE
