"group_a","group_b","variable","median_a","median_b","p_value","cliff_delta","effect","p_adj","significant"
"siUAP56_UP","siUAP56_DOWN","percentage_gene_gc_content",39.77,53.05,1.97e-112,-0.756,"large",5.91e-112,TRUE
"siBRG1_UP","siBRG1_DOWN","percentage_gene_gc_content",55.02,39.82,0,0.828,"large",0,TRUE
"siUAP56_UP","siC","percentage_gene_gc_content",39.77,46.17,4.73e-55,-0.436,"medium",1.22e-54,TRUE
"siUAP56_DOWN","siC","percentage_gene_gc_content",53.05,46.17,0,0.385,"medium",0,TRUE
"siBRG1_UP","siC","percentage_gene_gc_content",55.02,46.17,0,0.452,"medium",0,TRUE
"siBRG1_DOWN","siC","percentage_gene_gc_content",39.82,46.17,1.18e-28,-0.501,"large",2.66e-28,TRUE
"siUAP56_UP","siUAP56_DOWN","length_kb",110.4,21.46,0,0.535,"large",0,TRUE
"siBRG1_UP","siBRG1_DOWN","length_kb",19.96,48.73,5.39e-15,-0.365,"medium",9.7e-15,TRUE
"siUAP56_UP","siC","length_kb",110.4,31.12,0,0.447,"medium",0,TRUE
"siUAP56_DOWN","siC","length_kb",21.46,31.12,5.41e-08,-0.111,"negligible",8.85e-08,TRUE
"siBRG1_UP","siC","length_kb",19.96,31.12,1.06e-23,-0.148,"small",2.12e-23,TRUE
"siBRG1_DOWN","siC","length_kb",48.73,31.12,3.33e-06,0.21,"small",4.61e-06,TRUE
"siUAP56_UP","siUAP56_DOWN","exons_n",17,14,0.059,0.063,"negligible",0.0708,FALSE
"siBRG1_UP","siBRG1_DOWN","exons_n",13,14,0.755,0.015,"negligible",0.799,FALSE
"siUAP56_UP","siC","exons_n",17,13,1.07e-06,0.136,"negligible",1.6e-06,TRUE
"siUAP56_DOWN","siC","exons_n",14,13,0.002,0.063,"negligible",0.00257,TRUE
"siBRG1_UP","siC","exons_n",13,13,0.252,0.017,"negligible",0.284,FALSE
"siBRG1_DOWN","siC","exons_n",14,13,0.929,0.004,"negligible",0.929,FALSE
