"seqnames","start","end","width","strand","Conc","Conc_siBRG1","Conc_siC","Fold","p.value","FDR"
"11",607193,622179,14987,"*",10.0166030301905,10.516025892773,9.24644210922128,1.16054219784227,7.31660611147118e-13,3.83766577178633e-09
"16",546819,555012,8194,"*",8.95677008837839,9.53941716688015,7.96369414166447,1.37719435440143,9.44437151150672e-13,3.83766577178633e-09
"16",533442,541592,8151,"*",8.28855593617936,8.84449978094943,7.37226598356558,1.30690433446187,9.85280044104322e-13,3.83766577178633e-09
"9",137213226,137219358,6133,"*",9.2496173846917,9.73456459160756,8.51377028476391,1.11491801441071,6.65742917164544e-12,1.94480149676693e-08
"16",85630756,85643042,12287,"*",9.09973188902008,9.63168562289506,8.24798680649595,1.2320742415145,9.31748798743154e-12,2.17749694266275e-08
"7",150369104,150374213,5110,"*",9.33978523753878,9.83425633481983,8.58149320591135,1.1352811721883,1.42416379399331e-11,2.77355898880198e-08
"16",85649900,85656674,6775,"*",9.22052872072563,9.72870791902242,8.42903584499188,1.1647658291312,3.77332533220161e-11,6.29875807239654e-08
"19",2806245,2814172,7928,"*",8.32046984829243,8.85574128357751,7.4600315711047,1.2303033375602,4.69580944745329e-11,6.66512062119883e-08
"7",128842218,128851628,9411,"*",9.79649879768841,10.2499173082978,9.13156816680524,1.02784077560796,5.13359739758575e-11,6.66512062119883e-08
"9",137277752,137282314,4563,"*",8.9584434162996,9.49253283397129,8.10111062122428,1.22601056123576,5.87580405176031e-11,6.86587703448192e-08
"2",240568975,240578688,9714,"*",8.33210839270502,8.83540462069755,7.5525661145725,1.14730216834944,1.06359210002921e-10,1.12982488080375e-07
"7",128852582,128855321,2740,"*",8.79920259641158,9.27402796685227,8.0866749180518,1.07621143740615,1.42052368700612e-10,1.3404103433635e-07
"1",156114735,156115275,541,"*",7.68844563279484,8.32535832495524,6.52032947204342,1.46251300525409,1.49125669351523e-10,1.3404103433635e-07
"16",2229270,2236738,7469,"*",8.77908972782758,9.27199600004525,8.02451980625848,1.11746769822777,2.13643167956938e-10,1.76494398563003e-07
"9",137241311,137244945,3635,"*",8.82125385807811,9.28962599196564,8.12331559027368,1.05785347897864,2.38484117683591e-10,1.76494398563003e-07
"6",31630630,31639531,8902,"*",10.6301465874384,11.0133750850773,10.1067723787339,0.852874938672687,2.41669694224052e-10,1.76494398563003e-07
"10",72273936,72275946,2011,"*",10.9552587951197,11.3475689210591,10.414704343984,0.874009907112062,2.68380754998737e-10,1.84472301303543e-07
"16",668164,676780,8617,"*",9.09537122463788,9.58776127356118,8.34202621051351,1.11162954047772,4.66962828642605e-10,2.90821187731379e-07
"8",144309012,144321126,12115,"*",8.74621147635433,9.20954062199194,8.05952776713127,1.04289214268141,4.96678739621829e-10,2.90821187731379e-07
"15",94855620,94856903,1284,"*",9.13730466691244,9.61842460617224,8.41033875712726,1.08465104503197,4.97768400053708e-10,2.90821187731379e-07
"19",54454435,54457183,2749,"*",8.62310015137868,9.09794224401134,7.91053439009045,1.06811109865788,6.75126187855017e-10,3.75659500242185e-07
"16",85657269,85657615,347,"*",7.21585835818108,7.82270779682226,6.14813184516901,1.37423321463782,7.12506190737061e-10,3.7843794721648e-07
"6",147204383,147205302,920,"*",8.02572778843008,8.62182713285418,6.99179195185788,1.34507499533199,1.08556828371031e-09,5.44383669294555e-07
"9",135484521,135488239,3719,"*",8.67389005363494,9.13435199781987,7.99354883888,1.03119557866022,1.11811793436622e-09,5.44383669294555e-07
