"seqnames","start","end","width","strand","Conc","Conc_siUAP56","Conc_siC","Fold","p.value","FDR"
"11",63193739,63198578,4840,"*",7.49915236964931,8.43676709473362,3.93665511415212,4.30988824010804,2.83870582976108e-20,3.9659559147592e-16
"11",63167935,63173170,5236,"*",7.45415856697972,8.36257336526177,4.43110015320188,3.35801813074684,5.32729418942803e-17,3.72138135602495e-13
"11",63202937,63207566,4630,"*",7.44138855487586,8.35159953291263,4.39064338025583,3.31917660373294,4.96699721401033e-16,2.31313060256461e-12
"18",41979488,41981788,2301,"*",7.69438021153662,8.39053030925169,6.29778507925645,1.6709457710335,6.02973863423851e-09,2.10603696147366e-05
"7",136536290,136538564,2275,"*",7.39703991818546,8.13548942684066,5.80463486363235,1.7693502882942,8.05051294503582e-09,2.24947432710191e-05
"10",4993050,4993698,649,"*",7.39079493657745,8.09475436503308,5.96040534522569,1.65522517946307,3.0307086207755e-08,7.05700502347575e-05
"5",138465709,138470700,4992,"*",8.24959326964927,6.33323957798697,9.0445927595235,-1.84771349531426,3.60724803610967e-08,7.19955175892689e-05
"14",52569205,52574552,5348,"*",8.37542710036038,9.10894943574593,6.8075586921983,1.68769279464019,9.87552253554472e-08,0.000172463656680119
"9",129147391,129148919,1529,"*",7.28134400932982,5.83054854727002,7.98991120534001,-1.62294348968744,1.65526506613148e-07,0.000256952313765809
"6",126413191,126415122,1932,"*",7.89497763337783,8.64568011250987,6.2392974355849,1.68942734073125,2.52897566963124e-07,0.000353323190804181
"19",52225957,52226358,402,"*",6.41681249021836,4.97822501329015,7.1226326572293,-1.59875319528752,3.08424666955469e-07,0.000374703758672521
"11",62948111,62948624,514,"*",5.00742399095242,5.92872017759059,1.77206195420436,1.92365659375525,3.45607424697117e-07,0.000374703758672521
"7",141870079,141871840,1762,"*",7.48739371265589,8.22582166219215,5.89509711784747,1.65319019128424,3.6812169632459e-07,0.000374703758672521
"7",93815348,93815672,325,"*",7.4495222664597,8.11460157025738,6.17842517671174,1.50689634273728,3.75481541866387e-07,0.000374703758672521
"17",40242223,40242520,298,"*",5.96321473321438,4.38100950936995,6.6996282390763,-1.64362996860163,4.43231602742023e-07,0.00041282591479392
"X",56636986,56641988,5003,"*",6.29860329431499,6.99442086961586,4.90342570615423,1.56033363644247,5.15109274932337e-07,0.00044978698000498
"10",74095668,74095844,177,"*",4.99064607263591,2.58569853849863,5.84757923927182,-1.79514016210446,6.33499868448948e-07,0.000520625097770603
"7",93744818,93745994,1177,"*",7.6734766996013,8.32272559322649,6.46140572458987,1.45846529148502,6.77471280962385e-07,0.000525830625906971
"18",41971575,41972346,772,"*",6.72059069700627,7.38199623242609,5.46346697869593,1.48163022742139,7.40786864366027e-07,0.00054471227800304
"11",74891600,74893378,1779,"*",7.0632732578883,7.77662529071578,5.59090715181367,1.5653198491364,1.19358639977164e-06,0.000833779779560478
"7",128847678,128851616,3939,"*",7.80748136068228,6.64242981349396,8.44351583668828,-1.41668820214855,1.26792638378069e-06,0.000843533309895236
"2",208801726,208806534,4809,"*",7.95549303079952,8.60495357751131,6.74265277416329,1.43771531412667,1.51566317831776e-06,0.000906938671902821
"18",41973590,41974409,820,"*",6.81065857599459,7.46781145994072,5.56949914858593,1.45286351701821,1.5327803721557e-06,0.000906938671902821
"15",75647850,75650833,2984,"*",6.8083299799004,5.52498044845573,7.47659387119612,-1.47613277897814,1.55797925171195e-06,0.000906938671902821
"X",148172204,148173530,1327,"*",7.37992283174778,8.02294308051645,6.19025930957005,1.42213206501828,1.69968870375355e-06,0.00094227540803845
"3",34195963,34196469,507,"*",6.71367518649007,7.38721577147115,5.40973137622873,1.4802063181882,1.75357244356164e-06,0.00094227540803845
"X",68603549,68608285,4737,"*",6.29530841026744,7.0396463416706,4.67290830495844,1.58583467169805,2.41540572917729e-06,0.00124983827564207
"3",21280618,21281745,1128,"*",6.16186419830987,6.91298528153077,4.5039627674675,1.58748393048693,2.85289014545645e-06,0.001423490293649
"X",56185285,56189830,4546,"*",6.57801902919328,7.25342277029212,5.26671451662004,1.45954325791669,3.58642605148741e-06,0.00172779166777002
"10",75576931,75581697,4767,"*",8.91454452173269,9.63557964420096,7.40669797959927,1.52931909384496,3.89601115257015e-06,0.00177697906395572
"7",93812325,93812745,421,"*",7.36145941359953,7.9841328466945,6.24202496325064,1.35880091398988,4.01031080679829e-06,0.00177697906395572
"5",150373468,150377182,3715,"*",7.75040844867581,6.69023938899544,8.35488228684092,-1.32389971012164,4.07009734783359e-06,0.00177697906395572
"6",51130392,51135127,4736,"*",5.73787782404618,6.52305362556138,3.88426037103008,1.60626472829705,4.29441708982053e-06,0.00181810003520856
"18",1805785,1806871,1087,"*",7.75445325837653,8.34973265277446,6.72305238613389,1.29987542612579,4.90844041166533e-06,0.00201693591151107
"20",38508231,38508539,309,"*",7.24971052167784,7.91868402959718,5.96361285346037,1.4360263314388,5.06443869012343e-06,0.00202157922684898
"X",21945654,21945878,225,"*",6.57269223003062,7.20886359321282,5.40716355352868,1.37558477927207,5.43856481717516e-06,0.00211061636279873
"14",102016139,102017009,871,"*",4.97566273776176,2.8119443702679,5.80496002624696,-1.61362759844221,6.5287110930548e-06,0.00246520601840726
"14",27239806,27240927,1122,"*",5.71189037206939,6.46636240042862,4.03605996028647,1.54736376562197,6.72775268841156e-06,0.00247351138973153
"8",123182732,123183316,585,"*",7.7539028464375,6.73482896894909,8.34516767588743,-1.27957130126908,8.46523966757992e-06,0.00303250931783997
"17",47230704,47230931,228,"*",5.68972060950838,6.44825567198544,3.99179091793688,1.53705102004625,8.77783629248285e-06,0.00306587877105695
"4",141550507,141553367,2861,"*",6.1768113820968,6.86984807411036,4.79342181890216,1.44489205086867,1.05678814517147e-05,0.00353123909162389
"11",62946703,62947261,559,"*",4.82616918770493,5.67410802035937,2.50476365275284,1.58070655549138,1.06157069535612e-05,0.00353123909162389
"6",83947935,83948343,409,"*",6.99762134695974,7.61884418759083,5.88302889711504,1.32633128568049,1.10527990868993e-05,0.00359113153588534
"17",29569959,29570455,497,"*",6.7240711240286,7.34203404306164,5.62028359856497,1.31775776313935,1.22010020836584e-05,0.00371724892081682
"2",131218443,131218912,470,"*",6.04815907622964,4.6142533428778,6.75291818026949,-1.45637990098869,1.23479036510484e-05,0.00371724892081682
"20",63281484,63282358,875,"*",5.49547282092942,3.91360161720169,6.23181936004591,-1.49463377760979,1.23849690528496e-05,0.00371724892081682
"4",153658491,153659568,1078,"*",5.98264668560782,4.57498130528996,6.68137978241298,-1.44699239756748,1.25052393728717e-05,0.00371724892081682
"11",489595,491354,1760,"*",6.53135248056834,5.38079867415882,7.16319966247229,-1.342041737112,1.28926036403112e-05,0.00375255344705809
"6",51122852,51126268,3417,"*",5.69732136424425,6.4486580532281,4.03827427991601,1.50014528750203,1.46273652480038e-05,0.00417059020162981
"1",202437869,202439561,1693,"*",5.55124786972576,4.03487285925889,6.27409581304626,-1.46854891193032,1.49480898383043e-05,0.00417679526261899
"4",116598296,116599420,1125,"*",6.47183621746586,5.3321792343441,7.10050019922994,-1.33068464199928,1.53503857174293e-05,0.00418910651579079
"9",136925802,136926884,1083,"*",6.63649052624639,5.60568373561854,7.23157748525443,-1.27067549283396,1.55918358615075e-05,0.00418910651579079
"10",1080654,1080903,250,"*",6.96958649450848,7.57835775254027,5.89570785700381,1.29018466223725,1.75178580973774e-05,0.00461777349959357
"11",134245508,134247641,2134,"*",6.00339787669385,4.76242273823847,6.6605013198346,-1.36857065603582,1.82160183764516e-05,0.00463251523815519
"7",91510052,91512653,2602,"*",6.93939217973204,7.60684371394097,5.65918060170905,1.38379368560623,1.82369435329279e-05,0.00463251523815519
"11",63124750,63125532,783,"*",4.31928142087499,5.23521160438671,1.17641599221792,1.49620840127296,1.87143490399564e-05,0.00466889590066484
"19",7470892,7472255,1364,"*",5.17383579570612,3.40943963059046,5.94415755162067,-1.49611821165153,2.08285251437371e-05,0.00508041311679297
"1",202177582,202179193,1612,"*",6.53112741036699,5.37235852812188,7.16535395870227,-1.32795067461472,2.15562975133565e-05,0.00508041311679297
"11",63252987,63254969,1983,"*",4.60901800071634,5.46839337468797,2.1804315669845,1.51859765286459,2.16725166595199e-05,0.00508041311679297
"16",67876995,67884829,7835,"*",7.60428987274579,6.65198430110221,8.17299728888948,-1.21245800920861,2.18183943173415e-05,0.00508041311679297
"4",105861460,105864209,2750,"*",6.93850093902919,7.56808238725022,5.79571415332599,1.31423288717782,2.41447137409723e-05,0.00544522563938345
"11",63088431,63093590,5160,"*",8.10589113275817,9.0137474897684,5.09132659148779,1.47641412733513,2.44208245901857e-05,0.00544522563938345
"8",144105198,144107549,2352,"*",7.31212789259822,6.26839492621244,7.91137833005555,-1.26412279571339,2.45543780174044e-05,0.00544522563938345
"X",71100766,71101537,772,"*",4.54848615110373,2.35114719581557,5.3819515548664,-1.49362157759572,2.96339805156967e-05,0.00626190747172106
"2",184266077,184266338,262,"*",6.91013110935554,7.50551694826015,5.87840148518377,1.24899610992713,3.08842436532351e-05,0.00626190747172106
"7",11059507,11059957,451,"*",6.57810590806535,5.3785348846305,7.2238954191265,-1.33162153387067,3.09124140032796e-05,0.00626190747172106
"12",11315133,11320187,5055,"*",7.5619603706124,8.17427105772421,6.47666052405908,1.2768064381029,3.10437630447694e-05,0.00626190747172106
"16",89738145,89739551,1407,"*",6.19673254761891,4.84564170004901,6.8820039538295,-1.38587765420208,3.11265764615432e-05,0.00626190747172106
"14",102011870,102012439,570,"*",7.2175851400292,6.23314268721945,7.7973242853457,-1.22285283083321,3.13064790833547e-05,0.00626190747172106
"1",28887224,28887397,174,"*",5.25214417346364,3.57856256967554,6.0061986024668,-1.45623755964851,3.13745274511827e-05,0.00626190747172106
"14",102033299,102033478,180,"*",4.8361382660551,2.89589702601832,5.63475051152497,-1.48000584244537,3.24442574205979e-05,0.00629294081492267
"12",27786753,27787529,777,"*",6.69376554843983,7.2825412758126,5.68226501987973,1.23549535603406,3.25866603986175e-05,0.00629294081492267
"1",121575765,121579413,3649,"*",7.71975016769811,8.32147273236784,6.66826908854759,1.25716109323222,3.28813026618964e-05,0.00629294081492267
"1",230278810,230281916,3107,"*",7.39049401577689,6.4398986116916,7.9586050625621,-1.19941598389538,3.39322304440345e-05,0.00640631339910277
"12",11287729,11289548,1820,"*",6.75553890279413,7.3376508971754,5.76405678427555,1.22212696728463,3.50728639591135e-05,0.00653337309830367
"8",75376752,75377011,260,"*",4.53788503700611,1.91868084069294,5.41542711044134,-1.45982699385885,3.61112501220816e-05,0.00663829309810003
"2",76228629,76229757,1129,"*",7.88382855147844,8.52989408209127,6.68326523576514,1.32038293364382,3.83639506540854e-05,0.00686376038994058
"14",39595265,39597382,2118,"*",6.45266289065215,7.13037626091773,5.13216804479519,1.36327541504467,3.87335589558977e-05,0.00686376038994058
"19",1924203,1924965,763,"*",5.97929536787322,4.56019433601037,6.68067120114074,-1.39328077078173,3.88116148311005e-05,0.00686376038994058
"16",30768185,30769558,1374,"*",6.64890359210386,5.5021461070781,7.27964530972209,-1.29787230439831,4.07148539844678e-05,0.00706373929418035
"1",119200828,119201774,947,"*",8.34952008479978,8.93999023014446,7.33286985967579,1.23056951633342,4.12517008662529e-05,0.00706373929418035
"9",78339487,78340586,1100,"*",7.84019021859886,8.43824617171403,6.80018140346939,1.24320303798356,4.14592099436539e-05,0.00706373929418035
"14",101985712,101986715,1004,"*",7.18664188791008,6.15010268558929,7.78358132552341,-1.24287745624168,4.19672270294397e-05,0.00706414613046148
"2",68597255,68600925,3671,"*",7.70910527784478,8.33657400626875,6.57351259554821,1.28823787195279,4.30912670354128e-05,0.00710521798816861
"2",193632141,193634133,1993,"*",8.4347214922,9.09605246928911,7.1778795975086,1.33605432543319,4.32283679761171e-05,0.00710521798816861
"1",119211625,119213251,1627,"*",7.39846492960927,7.98109183000742,6.40544912908966,1.21567983633802,4.39427494566672e-05,0.007110312067986
"18",1641210,1642191,982,"*",6.82563969517452,7.39693522358538,5.86588054821602,1.19623975417833,4.42772278229749e-05,0.007110312067986
"3",163392731,163393054,324,"*",4.77631063316892,5.58465030542563,2.76939849660043,1.45464773611486,4.55691594062827e-05,0.0071987851204026
