"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"1","ENSG00000121410","A1BG","A1BG",55.82,58345178,58353502,"protein_coding","19",8325,14
"10001","ENSG00000133997","MED6","MED6",38.95,70581253,70600690,"protein_coding","14",19438,10
"10006","ENSG00000136754","ABI1","ABI1",38.43,26745266,26861094,"protein_coding","10",115829,13
"10007","ENSG00000113552","GNPDA1","GNPDA1",44.92,141991749,142013061,"protein_coding","5",21313,7
"10009","ENSG00000177485","ZBTB33","ZBTB33",38.57,120250712,120259741,"protein_coding","X",9030,3
"100093630","ENSG00000269893","SNHG8","SNHG8",40.09,118278462,118285316,"lncRNA","4",6855,1
"100093698","ENSG00000231216","GS1-600G8.3","",43.33,13310652,13319933,"lncRNA","X",9282,17
"10010","ENSG00000136560","TANK","TANK",35.74,161136908,161236568,"protein_coding","2",99661,21
"100101267","ENSG00000272391","POM121C","POM121C",45.76,75416784,75486358,"protein_coding","7",69575,18
"100101467","ENSG00000186814","ZSCAN30","ZSCAN30",42.37,35251058,35290268,"protein_coding","18",39211,9
"100101938","ENSG00000293699","ANKRD26P3","",37.39,19262797,19345084,"lncRNA","13",82288,26
"10011","ENSG00000213523","SRA1","SRA1",45.46,140536450,140557920,"protein_coding","5",21471,4
"100113379","ENSG00000238886","SNORD121A","SNORD121A",39.02,33952769,33952850,"snoRNA","9",82,1
"100124535","ENSG00000207016","SNORA36C","SNORA36C",41.67,69520043,69520174,"snoRNA","2",132,1
"100124537","ENSG00000206937","SNORA70B","SNORA70B",49.63,61417244,61417378,"snoRNA","2",135,1
"100126314","ENSG00000216101","MIR877","MIR877",62.79,30584332,30584417,"miRNA","6",86,1
"100126332","ENSG00000284587","MIR943","MIR943",67.02,1986384,1986477,"miRNA","4",94,1
"100126338","ENSG00000284224","MIR937","MIR937",69.77,143812957,143813042,"miRNA","8",86,1
"100126351","ENSG00000284918","MIR939","MIR939",74.39,124752,124833,"miRNA","HG2419_PATCH",82,2
"100126351","ENSG00000284310","MIR939","MIR939",74.39,144394149,144394230,"miRNA","8",82,2
