"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100126314","ENSG00000216101","MIR877","MIR877",62.79,30584332,30584417,"miRNA","6",86,1
"100126332","ENSG00000284587","MIR943","MIR943",67.02,1986384,1986477,"miRNA","4",94,1
"100126338","ENSG00000284224","MIR937","MIR937",69.77,143812957,143813042,"miRNA","8",86,1
"100126351","ENSG00000284918","MIR939","MIR939",74.39,124752,124833,"miRNA","HG2419_PATCH",82,2
"100126351","ENSG00000284310","MIR939","MIR939",74.39,144394149,144394230,"miRNA","8",82,2
"100128071","ENSG00000225828","FAM229A","FAM229A",61.28,32361270,32364278,"protein_coding","1",3009,2
"100128569","ENSG00000183397","TEKTIP1","TEKTIP1",56.19,3539169,3544030,"protein_coding","19",4862,4
"100128927","ENSG00000179627","ZBTB42","ZBTB42",64.1,104799415,104804712,"protein_coding","14",5298,2
"100129196","ENSG00000186056","MATN1-AS1","MATN1-AS1",56.37,30718504,30726846,"lncRNA","1",8343,4
"100129722","ENSG00000275549","STPG3-AS1","STPG3-AS1",65.39,137250219,137253497,"lncRNA","9",3279,4
"10013","ENSG00000094631","HDAC6","HDAC6",50.55,48801372,48824986,"protein_coding","X",23615,19
"100130370","ENSG00000262223","LINC03048","LINC03048",57.63,81366667,81385464,"lncRNA","17",18798,11
"100131017","ENSG00000205903","ZNF316","ZNF316",60.36,6637298,6658279,"protein_coding","7",20982,8
"100133091","ENSG00000290873","LINC03009","LINC03009",40.66,76549360,76689386,"lncRNA","7",140027,15
"100133091","ENSG00000290511","LINC03009","LINC03009",41.83,36194,114817,"lncRNA","HSCHR7_2_CTG4_4",78624,15
"100137047","ENSG00000243789","JMJD7","JMJD7",54.86,41828067,41837589,"protein_coding","15",9523,10
"10014","ENSG00000108840","HDAC5","HDAC5",55.66,44076746,44123702,"protein_coding","17",46957,26
"10015","ENSG00000170248","PDCD6IP","PDCD6IP",36.94,33798318,33869707,"protein_coding","3",71390,22
"100188847","ENSG00000221656","MIR1225","MIR1225",74.44,2090195,2090284,"miRNA","16",90,1
"10025","ENSG00000175221","MED16","MED16",62.67,867630,893222,"protein_coding","19",25593,28
"10025","ENSG00000282092","MED16","MED16",64.29,46856,60469,"protein_coding","HSCHR19_5_CTG2",13614,28
"100302146","ENSG00000221091","MIR1302-5","MIR1302-5",31.33,50614636,50614785,"miRNA","20",150,1
"100302156","ENSG00000221394","MIR1229","MIR1229",66.67,179798278,179798346,"miRNA","5",69,2
