"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100","ENSG00000196839","ADA","ADA",50.13,44584896,44652252,"protein_coding","20",67357,8
"1000","ENSG00000170558","CDH2","CDH2",37.18,27932879,28178024,"protein_coding","18",245146,25
"10004","ENSG00000168060","NAALADL1","NAALADL1",54.38,65044818,65058558,"protein_coding","11",13741,11
"10007","ENSG00000113552","GNPDA1","GNPDA1",44.92,141991749,142013061,"protein_coding","5",21313,7
"10011","ENSG00000213523","SRA1","SRA1",45.46,140536450,140557920,"protein_coding","5",21471,4
"100126309","ENSG00000216069","MIR875","MIR875",39.47,99536786,99536861,"miRNA","8",76,1
"100126351","ENSG00000284918","MIR939","MIR939",74.39,124752,124833,"miRNA","HG2419_PATCH",82,2
"100126351","ENSG00000284310","MIR939","MIR939",74.39,144394149,144394230,"miRNA","8",82,2
"100128071","ENSG00000225828","FAM229A","FAM229A",61.28,32361270,32364278,"protein_coding","1",3009,2
"100128098","ENSG00000204832","ST8SIA6-AS1","ST8SIA6-AS1",42.79,17386907,17445758,"lncRNA","10",58852,11
"100128108","ENSG00000290760","UBE2Q2P13","UBE2Q2P13",44.19,101736824,101746870,"lncRNA","15",10047,8
"100128494","ENSG00000251143","NUMA1-AS1","NUMA1-AS1",53.16,72014291,72020910,"lncRNA","11",6620,4
"100128569","ENSG00000183397","TEKTIP1","TEKTIP1",56.19,3539169,3544030,"protein_coding","19",4862,4
"100128750","ENSG00000254109","RBPMS-AS1","RBPMS-AS1",53.71,30380582,30385401,"lncRNA","8",4820,8
"100128822","ENSG00000261455","LINC01003","LINC01003",60.82,152463786,152465551,"lncRNA","7",1766,1
"100128882","ENSG00000261744","ZFPM1-AS1","ZFPM1-AS1",60.5,88512960,88531053,"lncRNA","16",18094,4
"100129075","ENSG00000186615","KTN1-AS1","KTN1-AS1",41.07,55496786,55581068,"lncRNA","14",84283,11
"100129250","ENSG00000235453","TZMP1","SMIM27",42.17,32551144,32568621,"protein_coding","9",17478,6
"100129361","ENSG00000262986","SMIM10L1","SMIM10L1",64.36,402018,402219,"processed_pseudogene","HSCHR12_2_CTG2",202,3
"100129361","ENSG00000281930","SMIM10L1","SMIM10L1",38.61,366162,370955,"lncRNA","HSCHR12_3_CTG2",4794,3
"100129361","ENSG00000256537","SMIM10L1","SMIM10L1",37.28,11171156,11211467,"protein_coding","12",40312,3
"100129480","ENSG00000225526","MKRN2OS","MKRN2OS",43.71,12514934,12561059,"protein_coding","3",46126,9
"100129484","ENSG00000234432","LINC02983","LINC02983",64.69,5426277,5428927,"lncRNA","7",2651,1
"100129543","ENSG00000183850","ZNF730","ZNF730",41.26,23075210,23149789,"protein_coding","19",74580,11
"100129794","ENSG00000258708","SLC25A21-AS1","SLC25A21-AS1",46.05,37171888,37173811,"lncRNA","14",1924,1
"100129917","ENSG00000249592","PCGF3-AS1","PCGF3-AS1",50.71,760202,781874,"lncRNA","4",21673,9
"100129931","ENSG00000245748","CFAP184-OT1","",52.74,7030347,7046231,"lncRNA","4",15885,4
"100130197","ENSG00000228237","EFCAB14-AS1","EFCAB14-AS1",39.77,46674036,46692098,"lncRNA","1",18063,5
"100130231","ENSG00000245164","LINC00861","LINC00861",37.75,125859721,126292788,"lncRNA","8",433068,21
