"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100132273","ENSG00000237037","NDUFA6-DT","NDUFA6-DT",48.49,42090931,42137742,"lncRNA","22",46812,46
"100423040","ENSG00000266581","MIR3166","MIR3166",40.22,88176502,88176593,"miRNA","11",92,1
"100874188","ENSG00000223685","LINC00571","LINC00571",36.03,38050817,38350284,"lncRNA","13",299468,14
"10190","ENSG00000115514","TXNDC9","TXNDC9",42.55,99306476,99340702,"protein_coding","2",34227,8
"101928673","ENSG00000203739","PRDX6-AS1","PRDX6-AS1",40.71,173417789,173489407,"lncRNA","1",71619,10
"102723789","ENSG00000293066","LOC102723789","",42.37,39934568,40000627,"lncRNA","6",66060,13
"102724479","ENSG00000240497","LOC102724479","",44.3,171459230,171469720,"lncRNA","3",10491,6
"102724601","ENSG00000227373","RABGAP1L-DT","RABGAP1L-DT",40.5,174110268,174160394,"lncRNA","1",50127,8
"10279","ENSG00000112812","PRSS16","PRSS16",49.77,27247701,27256646,"protein_coding","6",8946,12
"105369897","ENSG00000258100","LINC02823","LINC02823",36.05,91326926,91368609,"lncRNA","12",41684,9
"115352","ENSG00000160856","FCRL3","FCRL3",40.65,157674321,157700901,"protein_coding","1",26581,12
"124900298","ENSG00000274458","LOC124900298","",34.38,36438661,36438788,"snoRNA","10",128,1
"128209","ENSG00000171872","KLF17","KLF17",45.14,44118821,44135387,"protein_coding","1",16567,20
"139285","ENSG00000184675","AMER1","AMER1",50.92,64185117,64205708,"protein_coding","X",20592,2
"147929","ENSG00000196357","ZNF565","ZNF565",45.17,36181542,36246257,"protein_coding","19",64716,10
"152559","ENSG00000163291","PAQR3","PAQR3",35.92,78887127,78939440,"protein_coding","4",52314,12
"157807","ENSG00000177182","CLVS1","CLVS1",39.85,61057158,61501645,"protein_coding","8",444488,33
"1756","ENSG00000198947","DMD","DMD",36.42,31097677,33339609,"protein_coding","X",2241933,102
"23195","ENSG00000112159","MDN1","MDN1",41.55,89642498,89819809,"protein_coding","6",177312,93
"254272","ENSG00000189375","TBC1D28","TBC1D28",57.58,18634247,18644427,"protein_coding","17",10181,11
"26275","ENSG00000198130","HIBCH","HIBCH",38.94,190189735,190344193,"protein_coding","2",154459,23
"27232","ENSG00000124713","GNMT","GNMT",56.49,42960268,42970699,"protein_coding","6",10432,6
"2892","ENSG00000125675","GRIA3","GRIA3",39.27,123184023,123490915,"protein_coding","X",306893,23
"3157","ENSG00000112972","HMGCS1","HMGCS1",38.76,43287470,43313512,"protein_coding","5",26043,12
"4838","ENSG00000156574","NODAL","NODAL",51.27,70431936,70447951,"protein_coding","10",16016,4
"5422","ENSG00000101868","POLA1","POLA1",38.81,24693864,24996986,"protein_coding","X",303123,38
"55285","ENSG00000089682","RBM41","RBM41",36.6,107052095,107118859,"protein_coding","X",66765,9
"5542","ENSG00000275517","PRB1","PRB1",48.56,20912,25493,"protein_coding","HSCHR12_5_CTG2",4582,9
"5542","ENSG00000251655","PRB1","PRB1",45.95,11351823,11355591,"protein_coding","12",3769,9
"5542","ENSG00000282673","PRB1","PRB1",45.95,546786,550554,"protein_coding","HSCHR12_3_CTG2",3769,9
"57692","ENSG00000198934","MAGEE1","MAGEE1",54.03,76427710,76431342,"protein_coding","X",3633,1
"58155","ENSG00000117569","PTBP2","PTBP2",35.76,96721284,96823738,"protein_coding","1",102455,14
"663","ENSG00000140299","BNIP2","BNIP2",38.49,59659146,59689487,"protein_coding","15",30342,13
"7786","ENSG00000139625","MAP3K12","MAP3K12",52.61,53479669,53500063,"protein_coding","12",20395,10
"80144","ENSG00000138759","FRAS1","FRAS1",39.78,78056961,78544458,"protein_coding","4",487498,75
"83550","ENSG00000165370","GPR101","GPR101",45.17,137023929,137033995,"protein_coding","X",10067,2
"92552","ENSG00000123594","ATXN3L","ATXN3L",38.95,13318647,13320053,"protein_coding","X",1407,1
