"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100128494","ENSG00000251143","NUMA1-AS1","NUMA1-AS1",53.16,72014291,72020910,"lncRNA","11",6620,4
"100128640","ENSG00000229589","ACVR2B-AS1","ACVR2B-AS1",56.48,38451027,38454820,"lncRNA","3",3794,2
"100128882","ENSG00000261744","ZFPM1-AS1","ZFPM1-AS1",60.5,88512960,88531053,"lncRNA","16",18094,4
"100129845","ENSG00000224729","PCOLCE-AS1","PCOLCE-AS1",55.44,100589402,100605782,"lncRNA","7",16381,10
"100130283","ENSG00000140650","LOC100130283","PMM2",47.47,8788823,8862534,"protein_coding","16",73712,9
"100130548","ENSG00000235138","LOC100130548","",61.63,134054290,134058805,"lncRNA","9",4516,3
"100170229","ENSG00000226763","SRRM5","SRRM5",50.64,43596617,43614498,"protein_coding","19",17882,1
"100174949","ENSG00000248710","TRIM59-IFT80","TRIM59-IFT80",36.83,160227454,160449829,"protein_coding","3",222376,29
"10025","ENSG00000175221","MED16","MED16",62.67,867630,893222,"protein_coding","19",25593,28
"10025","ENSG00000282092","MED16","MED16",64.29,46856,60469,"protein_coding","HSCHR19_5_CTG2",13614,28
"100270680","ENSG00000249375","CASC11","CASC11",44.87,127686343,127739022,"lncRNA","8",52680,13
"100288123","ENSG00000267244","LOC100288123","",64.55,1822089,1824542,"lncRNA","19",2454,3
"100289061","ENSG00000237781","ADAMTSL4-AS2","ADAMTSL4-AS2",61.01,150548562,150557724,"lncRNA","1",9163,6
"100302137","ENSG00000284433","MIR1914","MIR1914",71.25,63941465,63941544,"miRNA","20",80,1
"100302232","ENSG00000221585","MIR1226","MIR1226",64,47849555,47849629,"miRNA","3",75,1
"100302283","ENSG00000221411","MIR1227","MIR1227",69.32,2234062,2234149,"miRNA","19",88,1
"100422845","ENSG00000221065","MIR1233-2","MIR1233-2",73.17,34528290,34528371,"miRNA","15",82,1
"100422854","ENSG00000263414","MIR3187","MIR3187",70,813584,813653,"miRNA","19",70,1
"100422944","ENSG00000266189","MIR3186","MIR3186",56.47,81451104,81451188,"miRNA","17",85,2
"100422944","ENSG00000291415","MIR3186","MIR3186",56.47,107309,107393,"miRNA","HG1369_PATCH",85,2
"100505621","ENSG00000184224","NDUFV1-DT","NDUFV1-DT",52.17,67602880,67606766,"lncRNA","11",3887,3
"100505854","ENSG00000214293","APTR","APTR",43.78,77657659,77697074,"lncRNA","7",39416,4
"100506235","ENSG00000233230","LOC100506235","",43.45,47904971,47920233,"lncRNA","2",15263,11
"100506281","ENSG00000290455","LOC100506281","",61.16,75226074,75228197,"lncRNA","16",2124,4
"100506281","ENSG00000293524","LOC100506281","",61.16,56290,58413,"lncRNA","HSCHR16_5_CTG3_1",2124,4
"100506385","ENSG00000234380","LINC01426","LINC01426",43.06,34745725,34784886,"lncRNA","21",39162,5
"100506779","ENSG00000265148","TSPOAP1-AS1","TSPOAP1-AS1",46.31,58324472,58415766,"lncRNA","17",91295,14
"100507507","ENSG00000232533","FAM131B-AS2","FAM131B-AS2",49.02,143365046,143382339,"lncRNA","7",17294,4
"100507582","ENSG00000235831","BHLHE40-AS1","BHLHE40-AS1",40.8,4896806,4980414,"lncRNA","3",83609,9
"100533107","ENSG00000026036","RTEL1-TNFRSF6B","RTEL1-TNFRSF6B",59.83,63659300,63698684,"protein_coding","20",39385,33
"100616288","ENSG00000263575","MIR4665","MIR4665",77.22,6007826,6007904,"miRNA","9",79,1
"100616313","ENSG00000265954","MIR4749","MIR4749",70.49,49854591,49854651,"miRNA","19",61,1
"100616371","ENSG00000266437","MIR4746","MIR4746",67.61,4445978,4446048,"miRNA","19",71,1
"100652768","ENSG00000304501","LOC100652768","",58.12,117195612,117200028,"lncRNA","11",4417,7
"10093","ENSG00000241553","ARPC4","ARPC4",48.48,9792484,9807704,"protein_coding","3",15221,11
"101926913","ENSG00000234350","ERICH2-DT","ERICH2-DT",42.25,170700343,170818037,"lncRNA","2",117695,23
"101927606","ENSG00000259779","LINC01922","LINC01922",51.09,74409415,74413209,"lncRNA","18",3795,2
"101927632","ENSG00000240211","PPP1R35-AS1","PPP1R35-AS1",52.98,100435635,100439881,"lncRNA","7",4247,7
"101927793","ENSG00000259881","LOC101927793","",64.72,88881038,88887136,"lncRNA","16",6099,3
"101928022","ENSG00000243550","LINC01214","LINC01214",38.66,150265407,150409594,"lncRNA","3",144188,18
"101928158","ENSG00000228812","LAMA5-AS1","LAMA5-AS1",65.87,62352970,62356482,"lncRNA","20",3513,3
"101929620","ENSG00000260720","LINC01243","LINC01243",37.2,31371611,31381490,"lncRNA","9",9880,2
"101929918","ENSG00000286626","LOC101929918","",46.67,34044532,34055613,"lncRNA","11",11082,7
"102238594","ENSG00000269959","SPACA6-AS1","SPACA6-AS1",57.03,51685363,51693456,"lncRNA","19",8094,2
"102464831","ENSG00000278581","MIR6080","MIR6080",69.7,64780759,64780824,"miRNA","17",66,1
"102465133","ENSG00000284360","MIR6125","MIR6125",70.83,62260359,62260454,"miRNA","12",96,1
"102465134","ENSG00000273776","MIR6126","MIR6126",65.17,3485381,3485469,"miRNA","16",89,1
"102465490","ENSG00000278278","MIR6816","MIR6816",68.18,20114686,20114751,"miRNA","22",66,1
