"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100126309","ENSG00000216069","MIR875","MIR875",39.47,99536786,99536861,"miRNA","8",76,1
"100128098","ENSG00000204832","ST8SIA6-AS1","ST8SIA6-AS1",42.79,17386907,17445758,"lncRNA","10",58852,11
"100422991","ENSG00000266192","MIR1260B","MIR1260B",56.18,96341438,96341526,"miRNA","11",89,1
"100423005","ENSG00000266180","MIR4282","MIR4282",40.3,72967687,72967753,"miRNA","6",67,1
"100423040","ENSG00000266581","MIR3166","MIR3166",40.22,88176502,88176593,"miRNA","11",92,1
"100506025","ENSG00000229688","CRPPA-AS1","CRPPA-AS1",35.97,16210474,16270604,"lncRNA","7",60131,10
"100506368","ENSG00000246523","FZD4-DT","FZD4-DT",41.9,86955558,87021909,"lncRNA","11",66352,9
"100616186","ENSG00000266703","MIR4490","MIR4490",38.1,90555774,90555857,"miRNA","11",84,1
"100847013","ENSG00000264580","MIR5692B","MIR5692B",34.48,42950928,42951014,"miRNA","21",87,1
"100862680","ENSG00000256193","LINC00507","LINC00507",40.33,127914707,127960028,"lncRNA","12",45322,10
"10161","ENSG00000139679","LPAR6","LPAR6",35.61,48327364,48444704,"protein_coding","13",117341,16
"101926956","ENSG00000253177","LOC101926956","",36.46,92629124,92707619,"lncRNA","8",78496,6
"101927378","ENSG00000235139","LINC03017","LINC03017",34.07,84502453,84584322,"lncRNA","7",81870,9
"101927392","ENSG00000254041","LINC03084","LINC03084",36.3,105142860,105188606,"lncRNA","8",45747,3
"101928708","ENSG00000261095","LOC101928708","",49.26,87212122,87226430,"lncRNA","16",14309,3
"101928858","ENSG00000249364","LINC02997","LINC02997",37.52,67379378,67806600,"lncRNA","5",427223,19
"101928869","ENSG00000228740","GABRG3-AS1","GABRG3-AS1",41.82,27038978,27161319,"lncRNA","15",122342,5
"101929694","ENSG00000240893","LINC02042","LINC02042",39.17,112736447,112749368,"lncRNA","3",12922,5
"102467226","ENSG00000229855","LOC102467226","",34.76,121164687,121359869,"lncRNA","5",195183,10
"102724548","ENSG00000226088","LINC03102","LINC03102",37.76,70359556,70360548,"lncRNA","1",993,2
"102724908","ENSG00000266976","ERVE-5","ERVE-5",48.27,28606688,28615229,"lncRNA","19",8542,5
"10301","ENSG00000176124","DLEU1","DLEU1",39.64,50081725,50906856,"lncRNA","13",825132,48
"103164619","ENSG00000254166","PCAT2","CASC19",38.79,127072694,127227541,"lncRNA","8",154848,11
"105","ENSG00000185736","ADARB2","ADARB2",47.83,1177308,1737525,"protein_coding","10",560218,14
"105370921","ENSG00000259343","LOC105370921","TMC3-AS1",38.89,81324301,81696991,"lncRNA","15",372691,9
"105371960","ENSG00000297316","LOC105371960","",40.76,1513836,1522252,"lncRNA","18",8417,3
"105373780","ENSG00000283839","LOC105373780","",34.42,184567625,184599008,"lncRNA","2",31384,6
"105374669","ENSG00000308840","LOC105374669","",34.04,18972432,18990419,"lncRNA","5",17988,5
"105375392","ENSG00000243144","LINC02932","LINC02932",38.91,91311368,91515427,"lncRNA","7",204060,14
"105376086","ENSG00000303235","LOC105376086","",35.11,73909353,74083612,"lncRNA","9",174260,7
"105377456","ENSG00000250141","LINC02276","LINC02276",33.39,141568740,141577173,"lncRNA","4",8434,5
"10653","ENSG00000167642","SPINT2","SPINT2",51.22,38244035,38292615,"protein_coding","19",48581,7
"107080620","ENSG00000225951","ODF2-AS1","ODF2-AS1",51.52,128468925,128473115,"lncRNA","9",4191,2
"107984516","ENSG00000256995","LINC02955","LINC02955",38,22699859,23191587,"lncRNA","12",491729,31
"107986384","ENSG00000301766","LOC107986384","",40.7,81758690,81823745,"lncRNA","5",65056,10
"11098","ENSG00000150687","PRSS23","PRSS23",42.15,86791059,86954151,"protein_coding","11",163093,9
"11146","ENSG00000174842","GLMN","GLMN",37.95,92245786,92299009,"protein_coding","1",53224,26
"1128","ENSG00000168539","CHRM1","CHRM1",53.66,62907828,62921877,"protein_coding","11",14050,4
"115727","ENSG00000171777","RASGRP4","RASGRP4",53.51,38409051,38426305,"protein_coding","19",17255,13
"118597831","ENSG00000272097","TMEM14B-DT","TMEM14B-DT",45.29,10743322,10747768,"lncRNA","6",4447,4
"120227","ENSG00000186104","CYP2R1","CYP2R1",39.86,14877349,14892262,"protein_coding","11",14914,7
"1215","ENSG00000092009","CMA1","CMA1",51.52,24505353,24508271,"protein_coding","14",2919,5
"124900212","ENSG00000252904","LOC124900212","",43.07,65961183,65961319,"snoRNA","5",137,1
"124900237","ENSG00000199470","LOC124900237","",48.48,12700758,12700889,"snoRNA","7",132,1
"124900327","ENSG00000199571","LOC124900327","",37.31,39819750,39819883,"snoRNA","12",134,1
"124900490","ENSG00000212611","LOC124900490","",35.71,114017033,114017102,"snoRNA","X",70,1
"124900557","ENSG00000202517","LOC124900557","",52.99,40238608,40238741,"snoRNA","3",134,1
"124900875","ENSG00000294559","LOC124900875","",41.82,186737345,186759641,"lncRNA","4",22297,3
"124900892","ENSG00000199894","LOC124900892","",37.5,110433109,110433188,"snoRNA","4",80,1
"124902371","ENSG00000213994","PFKFB3-AS1","PFKFB3-AS1",56.64,6197604,6204372,"lncRNA","10",6769,4
"124904117","ENSG00000239129","LOC124904117","",40.38,29883006,29883109,"snoRNA","17",104,1
"124904868","ENSG00000294328","LOC124904868","",41.89,8590513,8594675,"lncRNA","20",4163,2
"124905244","ENSG00000307678","LOC124905244","",38.08,10900890,10929484,"lncRNA","X",28595,4
"136242","ENSG00000165076","PRSS37","PRSS37",41.54,141836300,141841487,"protein_coding","7",5188,6
"139804","ENSG00000175718","RBMXL3","RBMXL3",62.76,115189410,115192868,"protein_coding","X",3459,1
"143570","ENSG00000166435","XRRA1","XRRA1",41.82,74807739,74949200,"protein_coding","11",141462,20
"144097","ENSG00000168005","SPINDOC","SPINDOC",52.85,63813405,63827718,"protein_coding","11",14314,7
"144766","ENSG00000227674","LINC00355","LINC00355",33.46,63851197,64076044,"lncRNA","13",224848,8
"147920","ENSG00000204866","IGFL2","IGFL2",41.35,46079126,46161298,"protein_coding","19",82173,24
"154215","ENSG00000188580","NKAIN2","NKAIN2",36.11,123803812,124825739,"protein_coding","6",1021928,10
"160065","ENSG00000171053","PATE1","PATE1",44.78,125746279,125749867,"protein_coding","11",3589,3
