"seqnames","start","end","width","strand","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","orientation"
"chr11",607193,622179,14987,"+",1.16054219784227,3.83766577178633e-09,"Promoter",11,612553,615252,2700,2,"3665","ENST00000528413.6",0,"ENSG00000185507","IRF7","interferon regulatory factor 7","antisense"
"chr16",546819,555012,8194,"+",1.37719435440143,3.83766577178633e-09,"Promoter",16,552297,554636,2340,1,"6650","ENST00000565010.1",0,"ENSG00000103326","CAPN15","calpain 15","sense"
"chr16",533442,541592,8151,"+",1.30690433446187,3.83766577178633e-09,"Promoter",16,535316,535368,53,1,"100847028","ENST00000581803.1",0,"ENSG00000266124","MIR5587","microRNA 5587","sense"
"chr9",137213226,137219358,6133,"+",1.11491801441071,1.94480149676693e-08,"Promoter",9,137217494,137219361,1868,1,"122513141","ENST00000645271.2",0,"ENSG00000284976","LOC122513141","ring finger protein-like","sense"
"chr16",85630756,85643042,12287,"+",1.2320742415145,2.17749694266275e-08,"Exon (ENST00000637419.1/23199, exon 3 of 3)",16,85654432,85676204,21773,1,"23199","ENST00000412692.5",-11390,"ENSG00000131149","GSE1","Gse1 coiled-coil protein","sense"
"chr7",150369104,150374213,5110,"+",1.1352811721883,2.77355898880198e-08,"Promoter",7,150362658,150369303,6646,2,"105375563","ENST00000728192.1",0,"ENSG00000240449","REPIN1-AS1","REPIN1 antisense RNA 1","antisense"
"chr16",85649900,85656674,6775,"+",1.1647658291312,6.29875807239654e-08,"Promoter",16,85654432,85676204,21773,1,"23199","ENST00000412692.5",0,"ENSG00000131149","GSE1","Gse1 coiled-coil protein","sense"
"chr19",2806245,2814172,7928,"+",1.2303033375602,6.66512062119883e-08,"Promoter",19,2806985,2810490,3506,1,"7064","ENST00000591149.5",0,"ENSG00000172009","THOP1","thimet oligopeptidase 1","sense"
"chr7",128842218,128851628,9411,"+",1.02784077560796,6.66512062119883e-08,"3' UTR",7,128841331,128842858,1528,1,"2318","ENST00000388853.3",887,"ENSG00000128591","FLNC","filamin C","sense"
"chr9",137277752,137282314,4563,"+",1.22601056123576,6.86587703448192e-08,"Promoter",9,137277726,137282641,4916,1,"54863","ENST00000357503.3",26,"ENSG00000198113","TOR4A","torsin family 4 member A","sense"
"chr2",240568975,240578688,9714,"+",1.14730216834944,1.12982488080375e-07,"Promoter",2,240529041,240569177,40137,2,"51281","ENST00000418708.3",0,"ENSG00000144504","ANKMY1","ankyrin repeat and MYND domain containing 1","antisense"
"chr7",128852582,128855321,2740,"+",1.07621143740615,1.3404103433635e-07,"3' UTR",7,128850162,128862626,12465,2,"110806300","ENST00000469965.1",7305,"ENSG00000242902","FLNC-AS1","FLNC antisense RNA 1","antisense"
"chr1",156114735,156115275,541,"+",1.46251300525409,1.3404103433635e-07,"Promoter",1,156114722,156139317,24596,1,"4000","ENST00000368299.7",13,"ENSG00000160789","LMNA","lamin A/C","sense"
"chr16",2229270,2236738,7469,"+",1.11746769822777,1.76494398563003e-07,"Promoter",16,2235816,2238711,2896,1,"1775","ENST00000564065.5",0,"ENSG00000167968","DNASE1L2","deoxyribonuclease 1 like 2","sense"
"chr9",137241311,137244945,3635,"+",1.05785347897864,1.76494398563003e-07,"Promoter",9,137241288,137243706,2419,1,"10383","ENST00000604929.1",23,"ENSG00000188229","TUBB4B","tubulin beta 4B class IVb","sense"
