"seqnames","start","end","width","strand","Conc","Conc_siBRG1","Conc_siC","Fold","p.value","FDR"
"8",143915203,143930548,15346,"*",11.1371544430127,11.6780645947396,10.2617735414346,1.28527323459082,4.58909328048361e-14,4.40231718396793e-10
"17",82079824,82098011,18188,"*",11.2168370992452,11.7103895526148,10.460731817127,1.13773393654906,2.77592196094535e-12,9.37132377523467e-09
"19",5691862,5699203,7342,"*",9.79363354565542,10.2769907874019,9.06148546970341,1.11040270322099,2.93067563074158e-12,9.37132377523467e-09
"7",5370386,5371248,863,"*",8.29932317283809,8.86960338653777,7.34249424523943,1.33634997545455,9.92229645349631e-12,2.37961474695975e-08
"16",88731021,88741659,10639,"*",9.58703775770015,10.1129984508873,8.75081447173247,1.21536378478436,1.31033597951566e-11,2.51401061029875e-08
"8",144050678,144060554,9877,"*",9.47453195437954,9.98444874865838,8.67875264944237,1.17163436388076,1.72703226568907e-11,2.76123675412588e-08
"22",21919431,21923728,4298,"*",10.1496812312814,10.5864107629797,9.52033097341711,0.983689643056134,2.57404175616275e-11,3.52754036669561e-08
"19",1576679,1578548,1870,"*",9.58328176587256,10.0559957783338,8.87555087872668,1.07303680006593,3.29462963259174e-11,3.95067275818157e-08
"19",46787308,46788578,1271,"*",9.12390720151074,9.63106463654215,8.33492655116114,1.1551420160848,9.21742942513184e-11,9.48759416480794e-08
"16",2107408,2112936,5529,"*",7.66615575555971,8.29930854609532,6.51110163437422,1.48330866185783,1.03808084992123e-10,9.48759416480794e-08
"7",1475938,1479598,3661,"*",7.5870850885886,8.16658413990918,6.60335238334204,1.34100804813826,1.08791343493055e-10,9.48759416480794e-08
"3",47417126,47424846,7721,"*",8.27891751795269,8.79832759490237,7.45939890855499,1.18235673533702,1.66535828530818e-10,1.26407490347376e-07
"20",63685774,63707817,22044,"*",9.75059302225359,10.1917797290959,9.11186577657425,0.987342586817028,1.71301717347637e-10,1.26407490347376e-07
"16",88965459,88977400,11942,"*",10.4177352724332,10.897868670459,9.69304600140915,1.0768240251648,5.51118812531084e-10,3.77634483472192e-07
"7",100477280,100479239,1960,"*",8.3541980158673,8.87445996296652,7.5325222384746,1.17433923112,6.6916527510734e-10,4.27953498940314e-07
"16",88718665,88724208,5544,"*",9.86375373031922,10.285556929959,9.26516389256926,0.934328666068871,7.96174162675791e-10,4.59597866696081e-07
"20",63562520,63566298,3779,"*",7.740784722821,8.31010305240699,6.78672443753253,1.29436062390859,8.36947080227502e-10,4.59597866696081e-07
"8",143723364,143729362,5999,"*",8.67575158392455,9.18008587662976,7.89368039135504,1.13281357041528,8.62374815024441e-10,4.59597866696081e-07
"X",154350880,154360594,9715,"*",9.83601213877982,10.2695179435211,9.21338827487246,0.960769537080952,1.0735754967657e-09,5.42042617919649e-07
"17",81245089,81248241,3153,"*",9.39156820513874,9.85882376783517,8.69613279418816,1.04072987649796,1.19348064913081e-09,5.71354757988152e-07
"X",154014033,154019800,5768,"*",8.87605182494614,9.3622752325735,8.13722583081103,1.08600076449462,1.25827741759923e-09,5.71354757988152e-07
"8",144261792,144265433,3642,"*",8.15569225310942,8.70949558449873,7.24532460373465,1.25120687951565,1.31031008816213e-09,5.71354757988152e-07
"16",88757464,88764117,6654,"*",8.53932311409615,9.03498202894086,7.77819659604345,1.10771810042973,1.44929792465211e-09,6.0448326048642e-07
"8",143730141,143733430,3290,"*",7.67631821064462,8.22401113809058,6.7826764802439,1.23378954340257,1.57735927806353e-09,6.07432487844207e-07
"7",150942819,150955771,12953,"*",9.81029960943599,10.2862489983308,9.09520888013622,1.05996050966343,1.58300971501149e-09,6.07432487844207e-07
"19",45776502,45786789,10288,"*",9.37731084041916,9.82754798447712,8.71926285247527,0.998162652898739,1.6822969041976e-09,6.20702853921829e-07
"17",32492694,32494924,2231,"*",8.55763021026969,9.03017409861505,7.8502848295062,1.05076808835144,1.85648368590106e-09,6.59601777735145e-07
"7",151075203,151083204,8002,"*",9.68922696627054,10.1489589350657,9.01049407062607,1.02008750053563,1.96614950778613e-09,6.73616865292583e-07
"16",88922205,88929661,7457,"*",8.98111845755565,9.51561705266123,8.12271168611182,1.19706973669182,2.53813670455586e-09,8.22077711457429e-07
"19",13098033,13102796,4764,"*",8.70843055779805,9.19669763080539,7.96481589697323,1.08588664842587,2.6817651847395e-09,8.22077711457429e-07
"16",1443857,1455800,11944,"*",9.62035348007309,10.0534237529276,8.99863481682254,0.955403133480665,2.69655519864952e-09,8.22077711457429e-07
"8",143931309,143943874,12566,"*",9.14703946968073,9.61224751322119,8.45617742668242,1.03075637348363,2.74225860175521e-09,8.22077711457429e-07
"6",30683539,30687516,3978,"*",9.90960333864663,10.3063095942259,9.36061901967366,0.870211349874589,3.01668064227302e-09,8.76939921252276e-07
"17",17811532,17820862,9331,"*",9.41460534767872,9.87816087784782,8.7274191283253,1.02571497784739,3.32721601931887e-09,9.23647388925275e-07
"19",47064353,47070034,5682,"*",9.04431934521504,9.48864107996577,8.39894242561824,0.980999231695265,3.36992167334355e-09,9.23647388925275e-07
"7",996468,998303,1836,"*",8.18072026502382,8.67073350983948,7.43299598492668,1.08839818426325,3.70504837965257e-09,9.87292475166863e-07
"16",375517,380199,4683,"*",8.0663589359599,8.57767754785413,7.26710843949243,1.13730063011944,3.92366126426859e-09,1.01728871643591e-06
"8",143866510,143874104,7595,"*",9.34251361759402,9.82645532590141,8.60900736701452,1.07233042052209,4.20167599249764e-09,1.06070204726394e-06
