"seqnames","start","end","width","strand","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","orientation"
"chr5",138465709,138470700,4992,"+",-1.84771349531426,7.19955175892689e-05,"Promoter",5,138465479,138469303,3825,1,"1958","ENST00000239938.5",230,"ENSG00000120738","EGR1","early growth response 1","sense"
"chr9",129147391,129148919,1529,"+",-1.62294348968744,0.000256952313765809,"3' UTR",9,129142025,129147995,5971,1,"5524","ENST00000434095.2",5366,"ENSG00000119383","PTPA","protein phosphatase 2 phosphatase activator","sense"
"chr19",52225957,52226358,402,"+",-1.59875319528752,0.000374703758672521,"3' UTR",19,52222020,52222098,79,1,"102466984","ENST00000614975.1",3937,"ENSG00000274380","MIR6801","microRNA 6801","sense"
"chr17",40242223,40242520,298,"+",-1.64362996860163,0.00041282591479392,"Intron (ENST00000583268.1/147179, intron 1 of 3)",17,40256388,40260838,4451,1,"147179","ENST00000578304.1",-13868,"ENSG00000171475","WIPF2","WAS/WASL interacting protein family member 2","sense"
"chr10",74095668,74095844,177,"+",-1.79514016210446,0.000520625097770603,"3' UTR",10,74104928,74108975,4048,1,"7414","ENST00000472585.1",-9084,"ENSG00000035403","VCL","vinculin","sense"
"chr7",128847678,128851616,3939,"+",-1.41668820214855,0.000843533309895236,"3' UTR",7,128841331,128842858,1528,1,"2318","ENST00000388853.3",6347,"ENSG00000128591","FLNC","filamin C","sense"
"chr15",75647850,75650833,2984,"+",-1.47613277897814,0.000906938671902821,"Promoter",15,75647912,75662301,14390,1,"257364","ENST00000308527.6",0,"ENSG00000173548","SNX33","sorting nexin 33","sense"
"chr5",150373468,150377182,3715,"+",-1.32389971012164,0.00177697906395572,"Promoter",5,150374734,150394916,20183,1,"6949","ENST00000514442.5",0,"ENSG00000070814","TCOF1","treacle ribosome biogenesis factor 1","sense"
"chr14",102016139,102017009,871,"+",-1.61362759844221,0.00246520601840726,"3' UTR",14,102012441,102023810,11370,1,"1778","ENST00000643279.1",3698,"ENSG00000197102","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","sense"
"chr8",123182732,123183316,585,"+",-1.27957130126908,0.00303250931783997,"Promoter",8,123181638,123182788,1151,2,"125177378","ENST00000522383.1",0,NA,"SACK1A-AS2","SACK1A antisense RNA 2","antisense"
"chr2",131218443,131218912,470,"+",-1.45637990098869,0.00371724892081682,"Promoter",2,131218351,131263591,45241,1,"445582","ENST00000626191.1",92,"ENSG00000188219","POTEE","POTE ankyrin domain family member E","sense"
"chr20",63281484,63282358,875,"+",-1.49463377760979,0.00371724892081682,"Intron (ENST00000519273.6/55738, intron 7 of 11)",20,63284115,63289345,5231,1,"55738","ENST00000518794.6",-1757,"ENSG00000101199","ARFGAP1","ARF GTPase activating protein 1","sense"
"chr4",153658491,153659568,1078,"+",-1.44699239756748,0.00371724892081682,"Exon (ENST00000502774.1/ENST00000502774.1, exon 1 of 1)",4,153640168,153681180,41013,1,"100419170","ENST00000602666.1",18323,"ENSG00000290441","LOC100419170","toll like receptor 2 pseudogene","sense"
"chr11",489595,491354,1760,"+",-1.342041737112,0.00375255344705809,"Promoter",11,489791,490720,930,1,"81490","ENST00000530029.1",0,"ENSG00000174915","PTDSS2","phosphatidylserine synthase 2","sense"
"chr1",202437869,202439561,1693,"+",-1.46854891193032,0.00417679526261899,"Promoter",1,202437820,202438623,804,1,"4660","ENST00000464965.1",49,"ENSG00000077157","PPP1R12B","protein phosphatase 1 regulatory subunit 12B","sense"
"chr4",116598296,116599420,1125,"+",-1.33068464199928,0.00418910651579079,"Exon (ENST00000514175.1/ENST00000514175.1, exon 1 of 1)",4,116352963,116355081,2119,1,"105377384","ENST00000836059.1",245333,"ENSG00000308731","LOC105377384","uncharacterized LOC105377384","sense"
"chr9",136925802,136926884,1083,"+",-1.27067549283396,0.00418910651579079,"3' UTR",9,136921125,136923881,2757,1,"7186","ENST00000466107.1",4677,"ENSG00000127191","TRAF2","TNF receptor associated factor 2","sense"
