"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100126317","ENSG00000212027","MIR374B","MIR374B",41.67,74218547,74218618,"miRNA","X",72,1
"100130231","ENSG00000245164","LINC00861","LINC00861",37.75,125859721,126292788,"lncRNA","8",433068,21
"100130742","ENSG00000214954","LRRC69","LRRC69",36.91,91101832,91219257,"protein_coding","8",117426,13
"100233209","ENSG00000247774","PCED1B-AS1","PCED1B-AS1",39.87,47135273,47216503,"lncRNA","12",81231,8
"100289230","ENSG00000248489","LOC100289230","CHD1-DT",40.11,98928530,98995013,"lncRNA","5",66484,1
"100302146","ENSG00000221091","MIR1302-5","MIR1302-5",31.33,50614636,50614785,"miRNA","20",150,1
"100302158","ENSG00000221028","MIR1231","MIR1231",58.7,201808611,201808702,"miRNA","1",92,1
"100302286","ENSG00000221650","MIR1267","MIR1267",44.87,107531171,107531248,"miRNA","13",78,1
"100379661","ENSG00000156273","GRIK1-AS2","BACH1",39.61,29194071,29630751,"protein_coding","21",436681,5
"100422889","ENSG00000266761","MIR3194","MIR3194",69.86,51452905,51452977,"miRNA","20",73,1
"100422951","ENSG00000265725","MIR3144","MIR3144",35.44,120015179,120015257,"miRNA","6",79,1
"100422965","ENSG00000265321","MIR4263","MIR4263",45.78,27996367,27996449,"miRNA","2",83,1
"100423026","ENSG00000266645","MIR4299","MIR4299",44.44,11656651,11656722,"miRNA","11",72,1
"100500825","ENSG00000264342","MIR3660","MIR3660",38,90016621,90016720,"miRNA","5",100,1
"100500869","ENSG00000265456","MIR3672","MIR3672",30.49,121370972,121371053,"miRNA","X",82,1
"100505967","ENSG00000258548","LINC00645","LINC00645",33.66,27529238,27639636,"lncRNA","14",110399,8
"100506060","ENSG00000261556","SMG1P7","SMG1P7",39.69,70219870,70246610,"transcribed_unprocessed_pseudogene","16",26741,24
"100506060","ENSG00000291263","SMG1P7","",43.28,70219482,70226033,"lncRNA","16",6552,24
"100506127","ENSG00000179240","GVQW3","GVQW3",43.62,76381303,76414619,"protein_coding","11",33317,5
"100507244","ENSG00000204706","MAMDC2-AS1","MAMDC2-AS1",40.45,70010139,70258924,"lncRNA","9",248786,17
"100507377","ENSG00000251138","LINC02882","LINC02882",35.06,73621834,74509544,"lncRNA","12",887711,31
"100533105","ENSG00000288602","C8orf44-SGK3","C8orf44-SGK3",40.75,66667596,66860472,"protein_coding","8",192877,21
"100616129","ENSG00000265956","MIR4445","MIR4445",41.43,109602828,109602897,"miRNA","3",70,1
"100616174","ENSG00000263734","MIR4643","MIR4643",38.46,91521660,91521737,"miRNA","6",78,1
"100616206","ENSG00000265423","MIR4652","MIR4652",38.46,93716928,93717005,"miRNA","7",78,1
"100616337","ENSG00000263409","MIR4747","MIR4747",62.96,4932687,4932740,"miRNA","19",54,1
"100847050","ENSG00000264802","MIR5191","MIR5191",56.67,201719508,201719627,"miRNA","1",120,1
"100847092","ENSG00000263741","MIR548AS","MIR548AS",34.48,92490163,92490220,"miRNA","13",58,1
"100874291","ENSG00000230002","ALMS1-IT1","ALMS1-IT1",37.18,73456764,73459482,"lncRNA","2",2719,4
"100887750","ENSG00000291010","MRPS31P5","",39.69,52167709,52194833,"lncRNA","13",27125,30
"101180901","ENSG00000086200","IPO11-LRRC70","IPO11",38.32,62403518,62630484,"protein_coding","5",226967,5
"10135","ENSG00000105835","NAMPT","NAMPT",37.57,106248298,106291225,"protein_coding","7",42928,13
"10165","ENSG00000004864","SLC25A13","SLC25A13",39.77,96120218,96322181,"protein_coding","7",201964,20
"10171","ENSG00000120158","RCL1","RCL1",41.87,4792881,4928572,"protein_coding","9",135692,12
"10178","ENSG00000009694","TENM1","TENM1",36.99,124375903,125204312,"protein_coding","X",828410,35
"101927043","ENSG00000234690","EPCAM-DT","EPCAM-DT",46.06,47192405,47345112,"lncRNA","2",152708,13
"101927087","ENSG00000261083","LINC02516","LINC02516",35.71,124499937,124641930,"lncRNA","4",141994,13
"101927196","ENSG00000231646","FSIP2-AS2","FSIP2-AS1",34.65,185653303,185864985,"lncRNA","2",211683,11
"101927285","ENSG00000233723","LINC01793","LINC01122",37.75,58427707,59355588,"lncRNA","2",927882,10
"101927957","ENSG00000261008","LINC01572","LINC01572",37.63,72236281,72665083,"lncRNA","16",428803,36
"101928114","ENSG00000226320","LINC01811","LINC01811",38.93,33956972,34677247,"lncRNA","3",720276,33
"101928978","ENSG00000250546","LINC02994","LINC02994",37.66,83796421,84299240,"lncRNA","4",502820,16
"101929147","ENSG00000231365","WARS2-AS1","WARS2-AS1",41.17,119140391,119362600,"lncRNA","1",222210,14
"101929378","ENSG00000226383","LINC01876","LINC01876",36.36,156010644,156320306,"lncRNA","2",309663,13
"10208","ENSG00000132952","USPL1","USPL1",38.94,30617693,30660770,"protein_coding","13",43078,9
"102467080","ENSG00000305702","LINC02998","",40.33,54660148,54738908,"lncRNA","5",78761,7
"102546227","ENSG00000250331","LINC01340","LINC01340",36.49,97504589,97989061,"lncRNA","5",484473,21
"102546299","ENSG00000241956","LOC102546299","LINC03000",35.56,164296349,165172698,"lncRNA","5",876350,12
"10257","ENSG00000125257","ABCC4","ABCC4",42.38,95019831,95301822,"protein_coding","13",281992,38
"10274","ENSG00000118007","STAG1","STAG1",38.94,136336234,136752464,"protein_coding","3",416231,37
"10301","ENSG00000176124","DLEU1","DLEU1",39.64,50081725,50906856,"lncRNA","13",825132,48
"103504735","ENSG00000281426","MIR548BB","MIR548BB",34.85,60617805,60617870,"miRNA","3",66,1
"10351","ENSG00000141338","ABCA8","ABCA8",36.77,68866052,68955470,"protein_coding","17",89419,41
"10371","ENSG00000075213","SEMA3A","SEMA3A",34.4,83902491,84492939,"protein_coding","7",590449,25
"104472714","ENSG00000226758","DISC1-IT1","DISC1-IT1",44.91,231925834,231945233,"lncRNA","1",19400,4
"105370471","ENSG00000258969","LINC02307","LINC02307",35.24,43990539,44386064,"lncRNA","14",395526,5
"105370524","ENSG00000258553","PCNX4-DT","PCNX4-DT",36.52,59912425,60091891,"lncRNA","14",179467,16
"105371354","ENSG00000288821","LOC105371354","",43.91,78608473,78682746,"lncRNA","16",74274,3
"105372266","ENSG00000267939","LOC105372266","",47.5,8005761,8016025,"lncRNA","19",10265,5
"105372281","ENSG00000267424","RTBDN-AS1","RTBDN-AS1",52.7,12825711,12833097,"lncRNA","19",7387,4
"105373600","ENSG00000226813","LINC01941","LINC01941",35.64,126109761,126118023,"lncRNA","2",8263,4
"105373700","ENSG00000305077","LOC105373700","",34.06,155363553,155512558,"lncRNA","2",149006,12
"105374449","ENSG00000223647","LINC01946","LINC01946",42.82,31793823,31803980,"lncRNA","2",10158,5
"105374524","ENSG00000248837","LOC105374524","",37.03,22989147,23193740,"lncRNA","4",204594,24
"105375392","ENSG00000243144","LINC02932","LINC02932",38.91,91311368,91515427,"lncRNA","7",204060,14
"105375523","ENSG00000232053","LOC105375523","",38.2,135980871,136437785,"lncRNA","7",456915,27
"105375524","ENSG00000234352","LOC105375524","",36.56,136685559,137182107,"lncRNA","7",496549,4
"105377180","ENSG00000239440","LINC02008","LINC02008",35.75,81986138,82463675,"lncRNA","3",477538,23
"105377986","ENSG00000237742","HEY2-AS1","HEY2-AS1",38.81,125577545,125749190,"lncRNA","6",171646,17
"105378660","ENSG00000307557","LOC105378660","",43.2,38669170,38728587,"lncRNA","1",59418,5
