"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100268168","ENSG00000204758","RPL26L1-AS1","RPL26L1-AS1",50.06,172954666,172960081,"lncRNA","5",5416,6
"100289061","ENSG00000237781","ADAMTSL4-AS2","ADAMTSL4-AS2",61.01,150548562,150557724,"lncRNA","1",9163,6
"100302137","ENSG00000284433","MIR1914","MIR1914",71.25,63941465,63941544,"miRNA","20",80,1
"100302232","ENSG00000221585","MIR1226","MIR1226",64,47849555,47849629,"miRNA","3",75,1
"100302256","ENSG00000221540","MIR1180","MIR1180",69.57,19344506,19344574,"miRNA","17",69,1
"100422845","ENSG00000221065","MIR1233-2","MIR1233-2",73.17,34528290,34528371,"miRNA","15",82,1
"100422899","ENSG00000265134","MIR3190","MIR3190",66.25,47226942,47227021,"miRNA","19",80,1
"100500814","ENSG00000264901","MIR3616","MIR3616",54.35,47166967,47167058,"miRNA","20",92,1
"100507507","ENSG00000232533","FAM131B-AS2","FAM131B-AS2",49.02,143365046,143382339,"lncRNA","7",17294,4
"100507567","ENSG00000269386","RAB11B-AS1","RAB11B-AS1",50.07,8368304,8390685,"lncRNA","19",22382,8
"100507582","ENSG00000235831","BHLHE40-AS1","BHLHE40-AS1",40.8,4896806,4980414,"lncRNA","3",83609,9
"100652768","ENSG00000304501","LOC100652768","",58.12,117195612,117200028,"lncRNA","11",4417,7
"101805492","ENSG00000249395","CASC9","CASC9",35.85,75120407,75352327,"lncRNA","8",231921,11
"101927377","ENSG00000231119","LOC101927377","",45.69,47352417,47354633,"lncRNA","20",2217,2
"101928089","ENSG00000226876","SMYD3-AS1","SMYD3-AS1",39.44,246108626,246113869,"lncRNA","1",5244,5
"101928736","ENSG00000260083","MIR762HG","MIR762HG",52.7,30875222,30895220,"lncRNA","16",19999,5
"101929620","ENSG00000260720","LINC01243","LINC01243",37.2,31371611,31381490,"lncRNA","9",9880,2
"102466723","ENSG00000283836","MIR6734","MIR6734",52.94,43364648,43364715,"miRNA","1",68,1
"105370364","ENSG00000290807","LOC105370364","",46.07,110945328,110981178,"lncRNA","13",35851,8
"105371414","ENSG00000260279","LOC105371414","",52.33,89296128,89298317,"lncRNA","16",2190,3
"105372705","ENSG00000283078","LOC105372705","",67.41,62064019,62068535,"lncRNA","20",4517,6
"105374652","ENSG00000272324","DAP-DT","DAP-DT",46.25,10757714,10770295,"lncRNA","5",12582,5
"107984516","ENSG00000256995","LINC02955","LINC02955",38,22699859,23191587,"lncRNA","12",491729,31
"107985203","ENSG00000290074","LOC107985203","",46.69,150579305,150604291,"lncRNA","1",24987,6
"10849","ENSG00000117877","POLR1G","POLR1G",53.47,45406644,45410737,"protein_coding","19",4094,2
"110806300","ENSG00000242902","FLNC-AS1","FLNC-AS1",58.24,128850162,128862626,"lncRNA","7",12465,4
"11237","ENSG00000101236","RNF24","RNF24",40.51,3927309,4015598,"protein_coding","20",88290,8
"113026","ENSG00000161714","PLCD3","PLCD3",57.79,45108959,45133354,"protein_coding","17",24396,17
"11317","ENSG00000124232","RBPJL","RBPJL",54.84,45306840,45317824,"protein_coding","20",10985,12
"113177","ENSG00000099840","IZUMO4","IZUMO4",66.18,2096415,2099593,"protein_coding","19",3179,5
"120071","ENSG00000165905","LARGE2","LARGE2",59.25,45918146,45929376,"protein_coding","11",11231,13
"124902280","ENSG00000227218","LOC124902280","",55.94,127916078,127940954,"lncRNA","9",24877,7
"124903669","ENSG00000310204","LOC124903669","",51.66,28097431,28109745,"lncRNA","16",12315,2
"124903949","ENSG00000305107","LOC124903949","",56.03,32335353,32349104,"lncRNA","1",13752,2
"124904542","ENSG00000227006","LOC124904542","",48.34,230258694,230272110,"lncRNA","1",13417,4
"124906233","ENSG00000303828","LOC124906233","",45.76,45068265,45089369,"lncRNA","3",21105,5
"127138859","ENSG00000256813","CCDC86-AS1","CCDC86-AS1",54.88,60841806,60851081,"lncRNA","11",9276,2
"128385375","ENSG00000255114","HYOU1-AS1","HYOU1-AS1",52.99,119044188,119045493,"lncRNA","11",1306,4
