"ENTREZID","ENSEMBL","SYMBOL","hgnc_symbol","percentage_gene_gc_content","start_position","end_position","gene_biotype","chromosome_name","gene_length","exons_n"
"100126351","ENSG00000284918","MIR939","MIR939",74.39,124752,124833,"miRNA","HG2419_PATCH",82,2
"100126351","ENSG00000284310","MIR939","MIR939",74.39,144394149,144394230,"miRNA","8",82,2
"100128071","ENSG00000225828","FAM229A","FAM229A",61.28,32361270,32364278,"protein_coding","1",3009,2
"10013","ENSG00000094631","HDAC6","HDAC6",50.55,48801372,48824986,"protein_coding","X",23615,19
"100130522","ENSG00000267270","PARD6G-AS1","PARD6G-AS1",48.75,80147907,80179839,"lncRNA","18",31933,6
"100130776","ENSG00000255737","AGAP2-AS1","AGAP2-AS1",66.06,57726271,57728356,"lncRNA","12",2086,5
"100130935","ENSG00000292198","CSAG4","",49.43,342622,349782,"lncRNA","HSCHRX_1_CTG14",7161,8
"100130935","ENSG00000290868","CSAG4","",49.45,152733827,152740985,"lncRNA","X",7159,8
"100133123","ENSG00000226985","LINC01203","LINC01203",40.71,13333952,13403035,"lncRNA","X",69084,20
"100137047","ENSG00000243789","JMJD7","JMJD7",54.86,41828067,41837589,"protein_coding","15",9523,10
"10014","ENSG00000108840","HDAC5","HDAC5",55.66,44076746,44123702,"protein_coding","17",46957,26
"10019","ENSG00000111252","SH2B3","SH2B3",54.35,111404986,111451623,"protein_coding","12",46638,10
"100288175","ENSG00000291156","LOC100288175","",64.08,1058461,1066464,"lncRNA","1",8004,16
"100288798","ENSG00000257261","SLC38A4-AS1","SLC38A4-AS1",38.51,46383041,46876804,"lncRNA","12",493764,25
"100302156","ENSG00000221394","MIR1229","MIR1229",66.67,179798278,179798346,"miRNA","5",69,2
"100302156","ENSG00000283912","MIR1229","MIR1229",66.67,563851,563919,"miRNA","HG30_PATCH",69,2
"100419170","ENSG00000290441","LOC100419170","",41.4,153640168,153681180,"lncRNA","4",41013,3
"100422845","ENSG00000221065","MIR1233-2","MIR1233-2",73.17,34528290,34528371,"miRNA","15",82,1
"100422860","ENSG00000265806","MIR4292","MIR4292",70.15,136830957,136831023,"miRNA","9",67,1
"100422899","ENSG00000265134","MIR3190","MIR3190",66.25,47226942,47227021,"miRNA","19",80,1
"100422945","ENSG00000266104","MIR4326","MIR4326",64.41,63286808,63286866,"miRNA","20",59,1
"100422997","ENSG00000264553","MIR4257","MIR4257",56.98,150551929,150552014,"miRNA","1",86,1
"10049","ENSG00000105993","DNAJB6","DNAJB6",49.63,157335381,157432974,"protein_coding","7",97594,19
"100500810","ENSG00000284163","MIR3620","MIR3620",70.89,228097263,228097341,"miRNA","1",79,1
"100500832","ENSG00000283936","MIR3658","MIR3658",25,165907921,165907976,"miRNA","1",56,1
"100500860","ENSG00000284140","MIR3618","MIR3618",39.77,20085746,20085833,"miRNA","22",88,1
"100500873","ENSG00000266509","MIR3934","MIR3934",54.21,33698128,33698234,"miRNA","6",107,1
"100500882","ENSG00000264139","MIR3667","MIR3667",50,49543393,49543466,"miRNA","22",74,1
"100506380","ENSG00000182648","RNF32-DT","RNF32-DT",44.18,156388922,156640654,"lncRNA","7",251733,17
"100507178","ENSG00000281207","SLFNL1-AS1","SLFNL1-AS1",49.97,41014590,41043890,"lncRNA","1",29301,4
"100532737","ENSG00000254870","ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",47.36,31530219,31546608,"protein_coding","6",16390,92
"100533107","ENSG00000026036","RTEL1-TNFRSF6B","RTEL1-TNFRSF6B",59.83,63659300,63698684,"protein_coding","20",39385,33
"10058","ENSG00000115657","ABCB6","ABCB6",54.51,219209765,219219012,"protein_coding","2",9248,18
"100616124","ENSG00000284427","MIR4647","MIR4647",62.5,44254206,44254285,"miRNA","6",80,1
"100616147","ENSG00000263858","MIR4769","MIR4769",55.84,47587429,47587505,"miRNA","X",77,1
"100616273","ENSG00000283364","MIR451B","MIR451B",41.18,28861371,28861438,"miRNA","17",68,1
"100616329","ENSG00000284143","MIR4700","MIR4700",55.41,120723193,120723266,"miRNA","12",74,1
"100616335","ENSG00000283335","MIR219B","MIR219B",55.68,128392621,128392708,"miRNA","9",88,1
"100616337","ENSG00000263409","MIR4747","MIR4747",62.96,4932687,4932740,"miRNA","19",54,1
"100616439","ENSG00000284518","MIR4658","MIR4658",58.46,100156605,100156669,"miRNA","7",65,1
"100847063","ENSG00000263652","MIR548AX","MIR548AX",39.73,11318614,11318686,"miRNA","X",73,1
"10105","ENSG00000108179","PPIF","PPIF",55.6,79347461,79355350,"protein_coding","10",7890,6
"10121","ENSG00000138107","ACTR1A","ACTR1A",50.5,102461881,102502744,"protein_coding","10",40864,12
"10127","ENSG00000006194","ZNF263","ZNF263",46.94,3263800,3301705,"protein_coding","16",37906,8
"10128","ENSG00000138095","LRPPRC","LRPPRC",37.13,43886224,43996226,"protein_coding","2",110003,35
"10139","ENSG00000101246","ARFRP1","ARFRP1",63.16,63698622,63708662,"protein_coding","20",10041,9
"10147","ENSG00000064607","SUGP2","SUGP2",50.55,18990887,19061647,"protein_coding","19",70761,14
"10189","ENSG00000183684","ALYREF","ALYREF",58.59,81887830,81891835,"protein_coding","17",4006,8
"101927715","ENSG00000265843","LINC01029","LINC01029",41.24,77924025,77993759,"lncRNA","18",69735,9
"101929378","ENSG00000226383","LINC01876","LINC01876",36.36,156010644,156320306,"lncRNA","2",309663,13
"10197","ENSG00000131467","PSME3","PSME3",46.03,42824385,42843760,"protein_coding","17",19376,12
"10202","ENSG00000100867","DHRS2","DHRS2",49.5,23630115,23645639,"protein_coding","14",15525,8
"10212","ENSG00000123136","DDX39A","DDX39A",55.54,14408798,14419385,"protein_coding","19",10588,10
"10238","ENSG00000136485","DCAF7","DCAF7",44.03,63550222,63594286,"protein_coding","17",44065,12
"102465435","ENSG00000283712","MIR6727","MIR6727",72.31,1312502,1312566,"miRNA","1",65,1
"102465436","ENSG00000274258","MIR6728","MIR6728",60.67,8866502,8866590,"miRNA","1",89,1
