"seqnames","start","end","width","strand","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","orientation"
"chr11",63193739,63198578,4840,"+",4.30988824010804,3.9659559147592e-16,"Intron (ENST00000306494.11/387601, intron 7 of 11)",11,63163827,63229647,65821,2,"387601","ENST00000527057.5",31069,"ENSG00000196600","SLC22A25","solute carrier family 22 member 25","antisense"
"chr11",63167935,63173170,5236,"+",3.35801813074684,3.72138135602495e-13,"3' UTR",11,63118521,63144221,25701,2,"283238","ENST00000326192.5",-23714,"ENSG00000197658","SLC22A24","solute carrier family 22 member 24","antisense"
"chr11",63202937,63207566,4630,"+",3.31917660373294,2.31313060256461e-12,"Intron (ENST00000306494.11/387601, intron 7 of 11)",11,63163827,63229647,65821,2,"387601","ENST00000527057.5",22081,"ENSG00000196600","SLC22A25","solute carrier family 22 member 25","antisense"
"chr18",41979488,41981788,2301,"+",1.6709457710335,2.10603696147366e-05,"Intron (ENST00000262039.9/5289, intron 4 of 24)",18,41957667,41990602,32936,1,"5289","ENST00000589550.1",21821,"ENSG00000078142","PIK3C3","phosphatidylinositol 3-kinase catalytic subunit type 3","sense"
"chr7",136536290,136538564,2275,"+",1.7693502882942,2.24947432710191e-05,"Distal Intergenic",7,136427395,136437410,10016,1,"105375523","ENST00000454735.1",108895,"ENSG00000232053","LOC105375523","uncharacterized LOC105375523","sense"
"chr10",4993050,4993698,649,"+",1.65522517946307,7.05700502347575e-05,"Intron (ENST00000380753.9/1646, intron 7 of 8)",10,4995488,4997374,1887,1,"101928051","ENST00000451575.6",-1790,NA,"LOC101928051","uncharacterized LOC101928051","sense"
"chr14",52569205,52574552,5348,"+",1.68769279464019,0.000172463656680119,"Intron (ENST00000321662.11/283554, intron 1 of 6)",14,52553419,52632260,78842,1,"283554","ENST00000555622.1",15786,"ENSG00000180998","GPR137C","G protein-coupled receptor 137C","sense"
"chr6",126413191,126415122,1932,"+",1.68942734073125,0.000353323190804181,"Intron (ENST00000652383.1/ENST00000652383.1, intron 3 of 4)",6,126433549,126481110,47562,1,"387103","ENST00000824601.1",-18427,"ENSG00000203760","CENPW","centromere protein W","sense"
"chr11",62948111,62948624,514,"+",1.92365659375525,0.000374703758672521,"Intron (ENST00000782248.1/105369333, intron 4 of 5)",11,62909738,62921807,12070,2,"1128","ENST00000543973.1",-26304,"ENSG00000168539","CHRM1","cholinergic receptor muscarinic 1","antisense"
"chr7",141870079,141871840,1762,"+",1.65319019128424,0.000374703758672521,"Distal Intergenic",7,141836329,141841487,5159,2,"136242","ENST00000438520.1",-28592,"ENSG00000165076","PRSS37","serine protease 37","antisense"
