"seqnames","start","end","width","strand","Conc","Conc_siUAP56","Conc_siC","Fold","p.value","FDR"
"11",86826347,86829124,2778,"*",6.23840354810981,7.09592967979384,3.8277556841607,2.05745347893611,5.37076644164644e-09,7.1334519877948e-05
"10",95161372,95164055,2684,"*",6.59664445649505,7.32849531518931,5.03698712177139,1.70021390321445,5.8494320792527e-08,0.000388460784383172
"5",142310623,142315144,4522,"*",7.28298700107411,6.00171166398027,7.95071417174598,-1.53981981699787,9.64698291349777e-08,0.000427104090190258
"20",53458352,53459339,988,"*",7.05071099520438,7.77625305990632,5.5215474896233,1.65155758561008,1.70939255837315e-07,0.000567603799007804
"7",2729068,2731637,2570,"*",6.70061239954782,5.4070266048873,7.3715108676296,-1.52362753246869,2.47792618630584e-07,0.000658236312130284
"5",28757500,28758408,909,"*",7.34903040617918,8.0085487225771,6.09901885913499,1.46492079165208,7.78371291001857e-07,0.00122146852871808
"1",247299288,247301256,1969,"*",7.38494022507075,6.13890886364112,8.0433972455216,-1.46405914239531,7.96608161853499e-07,0.00122146852871808
"4",158981933,158982484,552,"*",5.47826894246746,6.31332506189854,3.26786345763469,1.74600468152111,8.68109382578623e-07,0.00122146852871808
"7",91478904,91480786,1883,"*",6.54459363613369,7.24963182359028,5.10945830416826,1.55092735203154,9.23658505531973e-07,0.00122146852871808
"X",73831063,73831279,217,"*",6.06796272151412,4.41208870543605,6.81870175732263,-1.63407589338931,9.54958457655467e-07,0.00122146852871808
"4",158974505,158978867,4363,"*",8.75300076883576,9.48378145581301,7.19857122256888,1.59379284585274,1.01160622013995e-06,0.00122146852871808
"1",173231415,173232741,1327,"*",7.49070780101401,8.10852157199257,6.38741211078959,1.35935655958489,1.49948963243043e-06,0.00156321928050005
"X",113848581,113848930,350,"*",7.33294298669878,7.97876370475244,6.13325981763084,1.41699772599065,1.53002941172268e-06,0.00156321928050005
"22",19875566,19877227,1662,"*",6.63661564766001,5.41131237913685,7.28948519342162,-1.42204105391484,2.21521086780317e-06,0.00185319128276629
"8",33355842,33357248,1407,"*",7.81227650692504,8.47622319931073,6.54550561446172,1.44073372245076,2.22831572595314e-06,0.00185319128276629
"5",10679429,10681176,1748,"*",8.49363156204467,7.35831184910382,9.12101985775544,-1.36883173894231,2.2324243731562e-06,0.00185319128276629
"14",59400868,59403537,2670,"*",6.95253436746963,7.67302453970571,5.44723965049344,1.53777444483167,2.48514153790643e-06,0.00186928178226698
"17",3913457,3915265,1809,"*",6.78221586809875,5.41635949039213,7.4710639859299,-1.48539301350683,2.53328354771914e-06,0.00186928178226698
"7",84581913,84582618,706,"*",6.39994835354649,7.11743382027298,4.90862610031635,1.52698152961715,2.84473406580206e-06,0.00186934651373187
"2",145519212,145521346,2135,"*",6.61548527087964,7.26919152027289,5.38710202551582,1.41268945029926,2.89668853142898e-06,0.00186934651373187
"4",126762815,126764058,1244,"*",7.14596915856933,6.04398297044835,7.76338550237378,-1.34150777955461,2.9986694474205e-06,0.00186934651373187
"5",28754851,28755142,292,"*",7.84911459183747,8.4794261779558,6.70383075990599,1.36357966492039,3.22485936972901e-06,0.00186934651373187
"12",120136516,120138047,1532,"*",6.02843815972457,4.52930012671017,6.74760872543833,-1.52651157785245,3.23708551542185e-06,0.00186934651373187
"8",128990502,128990823,322,"*",7.8120660987795,8.43382901845304,6.69567336075898,1.34269413773104,3.70458547267851e-06,0.00196071650012895
"3",40157813,40159883,2071,"*",5.92258315678446,6.65703210100637,4.35013847298402,1.5400053634456,3.74470478447983e-06,0.00196071650012895
"8",128989596,128989890,295,"*",8.12390002849008,8.76289791504556,6.94847368733695,1.374914736298,3.83817414571245e-06,0.00196071650012895
"7",99074209,99074531,323,"*",7.56330663540306,8.17181481999065,6.49027218446418,1.31259927403088,4.268492354781e-06,0.00203323518457929
"5",33096091,33099349,3259,"*",7.67805817488096,8.33258542389448,6.44664461326162,1.40056912065711,4.28629612770818e-06,0.00203323518457929
"16",375839,380072,4234,"*",7.08034148524835,5.91573292975701,7.71624881590358,-1.36579877901352,4.61003539717855e-06,0.00209521311692659
"X",115161989,115162206,218,"*",6.49798519954805,7.13508970261084,5.32919858184686,1.36451345058243,4.73244944344209e-06,0.00209521311692659
"12",91238229,91238864,636,"*",7.93596011204893,8.58868205397835,6.71119931901177,1.39074670635572,5.13376011143363e-06,0.00219956780000198
"17",81845632,81846598,967,"*",6.83299055979717,5.82839318898062,7.41948226760338,-1.26299993049604,5.36604546069327e-06,0.002227244244029
"2",241632932,241633980,1049,"*",7.1672282652693,5.97221072308204,7.81174804649208,-1.36987621054416,6.48233144073644e-06,0.00260904018775338
"21",46301815,46302026,212,"*",5.89368955108151,4.48266523005932,6.59320156365578,-1.460524475175,6.74778129551142e-06,0.00263600091667596
"4",159040152,159040323,172,"*",6.77056945352962,7.36330209836357,5.74700472757689,1.26592120525814,7.47323609079306e-06,0.00277699584226272
"X",115080626,115085177,4552,"*",7.64984211068253,8.31413054103179,6.38176761697057,1.3966294164716,7.52686721287893e-06,0.00277699584226272
"20",31263994,31267600,3607,"*",6.65270731223738,7.3059140962774,5.4261636468402,1.37335631621139,8.5078728247453e-06,0.00305409640157479
"17",81822445,81823500,1056,"*",7.03105884380518,5.69139496734362,7.71353083453097,-1.41476620293228,1.03381063292384e-05,0.00361344021749854
"19",45408289,45409468,1180,"*",5.91936496316187,4.32430894418761,6.65834081449571,-1.48986627582729,1.09725135163149e-05,0.00368262299098626
"17",42213977,42214136,160,"*",6.73891872408432,7.32141923117699,5.7462795961971,1.23490853133743,1.10905676584438e-05,0.00368262299098626
"17",42422682,42423244,563,"*",6.14039041661293,4.89501507519894,6.79867215636837,-1.36756204191882,1.27730634847773e-05,0.0041378494928003
"8",128837771,128838446,676,"*",5.8647606710706,6.57126554337304,4.42314213849373,1.43376742483961,1.36697059702395e-05,0.0041960016464805
"X",53201539,53201747,209,"*",4.63295033545141,2.46777513225022,5.46243050818564,-1.53584082359016,1.38489858348077e-05,0.0041960016464805
"1",54849638,54852353,2716,"*",7.32474619790419,6.16360219096724,7.95965741499271,-1.32314224341193,1.45149227274796e-05,0.0041960016464805
"5",28723357,28724198,842,"*",7.45183898599141,8.04812270328919,6.41733232811468,1.2533579473928,1.45298401548209e-05,0.0041960016464805
"9",73925210,73925476,267,"*",6.58639600862284,7.20980761985595,5.46448942967663,1.30188139482573,1.45321544750868e-05,0.0041960016464805
"1",16250923,16251703,781,"*",5.65318096356237,4.26870591163313,6.34647490632101,-1.40951551830841,1.52378345076576e-05,0.00424055467781198
"5",28760727,28761117,391,"*",6.48738315013011,7.10437562781044,5.38679187357963,1.28817029743423,1.55287585378955e-05,0.00424055467781198
"7",12348993,12349219,227,"*",6.12742063918773,6.80792654478285,4.79571526881945,1.39069204192837,1.56442688761321e-05,0.00424055467781198
"22",49601066,49602103,1038,"*",5.55521564025989,4.0102132019874,6.28405466552907,-1.44793542055259,1.80990334568654e-05,0.00466484829410281
"X",113569406,113569781,376,"*",7.97778343628813,8.61653833475766,6.80321140600389,1.31891097986567,1.8110036140753e-05,0.00466484829410281
"12",10929829,10930449,621,"*",6.18923434823561,6.85746036915136,4.90603129266417,1.36528551781286,1.82632217507413e-05,0.00466484829410281
"8",37871282,37873132,1851,"*",7.17178876514383,5.96838064713534,7.81864427265687,-1.33236755159118,1.88859279338089e-05,0.00473288480786509
"21",14934046,14935761,1716,"*",6.19753222071803,6.89523088078971,4.79431282557702,1.3959255334227,2.25273238358461e-05,0.00554088731829088
"5",90039730,90044630,4901,"*",8.33389412890157,8.98601581597818,7.11133673040501,1.329861240693,2.30037738653168e-05,0.00555520226325706
"X",12907616,12908314,699,"*",8.01876207176652,8.59314618652483,7.05003965438526,1.19831987545819,2.35626855083049e-05,0.00557555260432789
"2",130151774,130153406,1633,"*",6.21478716689072,5.00738491878039,6.86274845730631,-1.32464189341747,2.39276086769078e-05,0.00557555260432789
"17",78110889,78113147,2259,"*",6.93825534227405,5.8496500143265,7.5515835715904,-1.26786937012476,2.43678404475611e-05,0.0055802354624915
"X",154358191,154360573,2383,"*",7.53475051005922,6.46402847058668,8.14253704391603,-1.25499943029354,2.62561996128721e-05,0.00588690435304947
"X",131496412,131497669,1258,"*",6.51407132150299,7.16158768915576,5.30827784936058,1.31711811431181,2.65934543881169e-05,0.00588690435304947
"21",31693295,31693496,202,"*",5.43838935861917,3.8620886625415,6.17361633376713,-1.42612715774254,2.79063730171297e-05,0.00603605795234442
"19",48979315,48979787,473,"*",6.67617991409941,7.24734276370338,5.71680413638245,1.18673281103594,2.85634564450983e-05,0.00603605795234442
"7",91477417,91477905,489,"*",4.94871545175245,5.73604344140883,3.08162119153431,1.46177253590634,2.86306016411458e-05,0.00603605795234442
"4",1716045,1718626,2582,"*",6.90856986380059,5.72434024490464,7.55006090159508,-1.30426091749545,3.01269198048569e-05,0.00619187955591883
"X",115099876,115100777,902,"*",5.90501654429653,6.58555816559999,4.57316708776327,1.35746963007966,3.03020758270384e-05,0.00619187955591883
"11",14738403,14742245,3843,"*",7.98454390810652,8.60461425172686,6.87378342670614,1.26632007190144,3.16831443067013e-05,0.00637467217086972
"12",120219139,120221727,2589,"*",6.63158313792114,5.5364535291329,7.24691084683662,-1.26051259705401,3.22316947282577e-05,0.00637467217086972
"20",38128653,38130373,1721,"*",6.68039420999537,5.60575525079389,7.28940223396385,-1.24939987403837,3.29139774588813e-05,0.00637467217086972
"3",60442345,60443670,1326,"*",7.72796525866433,8.29290527599002,6.78641752456399,1.17029930966626,3.4189930509257e-05,0.00637467217086972
"1",248850057,248850705,649,"*",5.8847569468504,4.64367606935229,6.54188875850612,-1.32054506983532,3.4195074704042e-05,0.00637467217086972
"19",17405300,17405514,215,"*",5.45444732238381,3.90306306328028,6.18460245649395,-1.40700292236557,3.45548652808523e-05,0.00637467217086972
"20",35279033,35279755,723,"*",6.7378878368337,5.69715301129623,7.3361769702443,-1.22984806299259,3.45562713674612e-05,0.00637467217086972
"21",36936442,36937397,956,"*",6.3593162578444,4.95095303229021,7.05821136418503,-1.37241631489145,3.64057971722992e-05,0.00662386024715723
"2",167805733,167810953,5221,"*",7.86497992170438,8.43791742951329,6.90046497154291,1.1815753408918,3.73058425461707e-05,0.00669589460403027
"3",163470336,163471986,1651,"*",9.02982936674297,9.63931695566769,7.95364877849196,1.24181582415716,3.80136434391679e-05,0.00673196282878705
"19",4839169,4839489,321,"*",6.43224224717383,5.21376580429713,7.08324910228468,-1.30656287962897,3.93084999145807e-05,0.00686967757717712
"10",796052,796376,325,"*",6.32164629186233,6.91806650590559,5.28671684535932,1.2177828358214,4.09163372726472e-05,0.00697617934921011
"X",131464156,131466028,1873,"*",6.79374824113782,7.39822505531461,5.73356974641317,1.23168627978305,4.09683774460465e-05,0.00697617934921011
"5",163234765,163237187,2423,"*",8.45000393103063,9.02602810112896,7.47649138123481,1.18190679103732,4.30650864115719e-05,0.00724038579390503
"1",219854202,219858672,4471,"*",8.77030760824742,9.40717900257184,7.60233574778057,1.27685750815088,4.49195486382732e-05,0.00745776806266931
"22",38861636,38866984,5349,"*",7.69784045982656,6.64317661460748,8.30057346273399,-1.22471247422993,4.66486113607066e-05,0.00763333241761473
"17",76390589,76391358,770,"*",5.1607524274541,3.60064915659811,5.89269435694495,-1.38684048576249,4.71264311281741e-05,0.00763333241761473
"5",60711945,60712319,375,"*",6.23218972574222,6.84180971735609,5.15558312970416,1.23314106751995,4.80828147505357e-05,0.00769440898212789
"X",49234003,49234251,249,"*",4.86092951748811,3.08138998346565,5.63384860901675,-1.41104437468017,4.9205971490315e-05,0.00778040134921861
"8",109212299,109212682,384,"*",7.74757433750002,8.33717498709143,6.73356974641317,1.19913640106814,5.06818037823686e-05,0.00791947903338141
"20",63942576,63944364,1789,"*",5.56479128475755,4.06366988463089,6.28438770678272,-1.37228188911814,5.14832705804989e-05,0.00792017577429002
"12",120156304,120158991,2688,"*",6.51461436252561,5.3348094084547,7.15485474373525,-1.27794340349062,5.18788806176202e-05,0.00792017577429002
"4",127458319,127463523,5205,"*",7.27948842446868,7.90600514264064,6.14712235581571,1.25403443531217,5.38287203628144e-05,0.00812446663476024
"3",45224580,45225134,555,"*",5.49157368052954,3.74532736864077,6.25874002110458,-1.39416196309631,5.94868892528953e-05,0.00878656026475702
"8",33364864,33366379,1516,"*",7.65641921994507,8.2390663958947,6.66334298275377,1.18187788040257,5.96163812720837e-05,0.00878656026475702
"10",45326936,45329583,2648,"*",7.4266839009287,8.0604878712327,6.26937843682459,1.25925051787418,6.02000439762754e-05,0.00878656026475702
"10",42367486,42367705,220,"*",4.47675338842438,2.46777513225022,5.28538636950332,-1.40133036965749,6.13412475702076e-05,0.0088277434050721
"X",154348595,154350391,1797,"*",7.43423919350898,6.4038993397537,8.02917482829806,-1.2016529864706,6.18114844655704e-05,0.0088277434050721
"7",106684643,106688264,3622,"*",6.82200892644546,7.46712770685321,5.62484555459296,1.27282181700461,6.29918582964186e-05,0.00890061555205353
"5",32931106,32932109,1004,"*",4.64789685160228,5.47561888395482,2.49665869081316,1.3941762501923,6.44978777605827e-05,0.00901748223595852
"3",61213232,61217127,3896,"*",7.30054354887192,7.84465892992696,6.41657290835183,1.11404746116229,6.56852828308602e-05,0.00908783256832797
"3",52228653,52230298,1646,"*",5.95046550955094,4.79179906756506,6.58466249511581,-1.2557321444656,6.71591413248527e-05,0.00919595582553292
"15",43534999,43535214,216,"*",4.65001000703343,2.61827746666546,5.46184170479995,-1.3879513349715,7.03305953531074e-05,0.00953194864775482
"10",17411187,17411471,285,"*",7.4291791026962,8.00161988214062,6.46610509487389,1.15770668934883,7.34578228144939e-05,0.00985522022850614
"22",36467072,36468148,1077,"*",7.39068931351412,6.37176894503085,7.98190386192117,-1.18815790248926,7.50415511564756e-05,0.00996007396658746
"3",39145914,39149098,3185,"*",5.97182237865796,4.85581297325147,6.59347037352612,-1.23205764621975,7.57391560476836e-05,0.00996007396658746
"5",19150255,19151066,812,"*",6.95813509336004,7.55603799144243,5.91860255513155,1.19630327992579,7.65035824998641e-05,0.00996196649767839
"1",1311678,1313489,1812,"*",6.97625070009992,6.00738491878039,7.5506840063041,-1.16050317123973,7.83226477115537e-05,0.0100998194845132
"21",14936510,14937704,1195,"*",6.15982895197995,6.828179840019,4.87614286175425,1.28910038862314,7.97413365149962e-05,0.0101838887653094
"8",144514954,144517188,2235,"*",6.47073888918349,5.25315511860353,7.12150134910103,-1.26909832357295,8.09757625468858e-05,0.0102430483633118
"2",186091749,186092278,530,"*",7.10572292496943,7.69688039395762,6.08697679478923,1.18296650406085,8.24588674439931e-05,0.0103322516735011
"8",47864546,47864769,224,"*",5.32555707919928,3.70653502186794,6.06923914639266,-1.35085897945086,8.80811067203482e-05,0.010933581864109
"16",2288017,2288259,243,"*",4.83941964307112,3.12379263694821,5.60115577362004,-1.35830008342712,8.90634557419199e-05,0.0109356639602667
"20",63639873,63640775,903,"*",5.40112518906966,3.96639716680803,6.10607096129618,-1.32078027361732,8.97445694676308e-05,0.0109356639602667
"1",206602975,206603199,225,"*",6.74310148708771,5.67722849787917,7.34936980408122,-1.2014584999953,9.41074789640177e-05,0.0113630503236371
"16",88742312,88746787,4476,"*",6.83464699782783,5.77269135819011,7.43968390468586,-1.19903375480834,9.59215272132371e-05,0.0113787165944151
"1",246500071,246500318,248,"*",7.51698411025807,8.04072102387057,6.68646190152884,1.06733925810476,9.59506293159536e-05,0.0113787165944151
"3",185644778,185645743,966,"*",6.4514004120081,5.28450561847658,7.08796338864106,-1.24075703541251,9.86847953143389e-05,0.0115993933749119
"3",13316278,13317769,1492,"*",7.56974712595352,6.58106292419036,8.15091788414082,-1.16103018886236,9.9910688720841e-05,0.0116404716455282
"6",72426598,72430096,3499,"*",7.17813665330158,7.72050487769459,6.29885694743772,1.09742528295627,0.000100794472736906,0.0116413233642747
"21",46189499,46192452,2954,"*",7.04335907251566,6.01866493533248,7.63645990796069,-1.17882301385511,0.000101859045281883,0.0116628606847757
"X",113732250,113733176,927,"*",6.97247118344142,7.556432088801,5.97547180410899,1.16257284129225,0.000103793043578916,0.011746084217265
"22",21932923,21934228,1306,"*",6.82390628436939,5.82372032382619,7.408930766612,-1.16517747627246,0.000106056995985961,0.011746084217265
"2",186265477,186266757,1281,"*",8.00210607766999,8.56270890625429,7.07281037929264,1.12513529232969,0.000106184657388433,0.011746084217265
"X",154361305,154362720,1416,"*",6.42566415812577,5.33028986936193,7.04106662395952,-1.20890029937551,0.000106843476280789,0.011746084217265
"2",27384665,27385009,345,"*",5.98481015414927,4.90610321321445,6.59508218179176,-1.19975561253277,0.000108660378587324,0.011746084217265
"22",50218080,50222095,4016,"*",6.50577846815498,5.49281174595063,7.09503743986679,-1.17063716643384,0.000108795960709755,0.011746084217265
"3",45083809,45085936,2128,"*",5.53472397707301,4.14781197692549,6.22859458266933,-1.29648297827375,0.000109289447359791,0.011746084217265
"19",49907068,49909652,2585,"*",8.33014178774281,7.53912887524012,8.83812597047011,-1.03599244921851,0.00010995868344023,0.011746084217265
"9",133341106,133345172,4067,"*",6.95136701163432,6.00879975346043,7.51666569648271,-1.13323686192057,0.000110545138319389,0.011746084217265
"2",241675874,241677710,1837,"*",6.77216897480275,5.79403752466352,7.34976766975567,-1.1516585559361,0.000111661148857478,0.0117705030089287
"X",154350912,154355051,4140,"*",8.3270866012686,7.26536865595147,8.93204864790812,-1.18985657169448,0.000112564753156315,0.0117723232395447
"3",13320986,13322438,1453,"*",6.38718666094191,5.26418442595721,7.01092491042662,-1.2166314152482,0.000114352703709925,0.0118658797709002
"12",62877892,62878057,166,"*",6.54098410500905,7.10437562781044,5.6038268672674,1.12621856523262,0.000117137425949046,0.011985853206401
"2",72941844,72945537,3694,"*",6.06905878677728,4.99315973084864,6.67845884767711,-1.19496055402658,0.000117313726609858,0.011985853206401
"12",120210565,120212575,2011,"*",7.45900535185595,6.4796978638346,8.03700386513177,-1.14887760184225,0.000120137659547186,0.0120228353887822
"22",49585823,49591208,5386,"*",6.85390718483449,5.91120070007862,7.41925482286858,-1.12987593048799,0.000121067629988311,0.0120228353887822
"1",240142717,240145324,2608,"*",6.85319061658274,5.92120860269842,7.41474866827633,-1.12384019119192,0.000121477204311314,0.0120228353887822
"10",45331007,45333014,2008,"*",7.31759015654595,7.89477739894246,6.34066762568261,1.14549744169343,0.000122663405053432,0.0120228353887822
"7",84590641,84591204,564,"*",7.91166677688832,8.46588627910715,7.00015026893747,1.10971236775714,0.000122801102097973,0.0120228353887822
"1",32376305,32376708,404,"*",5.98552942697064,4.85380815775658,6.61185556663864,-1.21589755311376,0.000123277796195794,0.0120228353887822
"1",58630788,58631446,659,"*",8.34204203337848,7.49795177508408,8.87105137172323,-1.06861829109543,0.000124012080128231,0.0120228353887822
"7",135022307,135022758,452,"*",5.31303722223209,6.02961004735532,3.82592656030237,1.3021445387477,0.000129183209994149,0.0124334159068281
"1",75633316,75635469,2154,"*",7.5152922061868,8.09858975302017,6.52027557008055,1.15134400463641,0.000132285864385645,0.0126404377753247
"20",62751732,62754851,3120,"*",4.77067910189226,2.96639716680803,5.54777387908326,-1.32362881205557,0.000137531728812097,0.0130478315863019
"16",88757488,88763174,5687,"*",7.62459166664721,6.70328290374185,8.18234013823654,-1.11165069737654,0.000140362463473547,0.0132219449635153
"20",44733986,44734450,465,"*",6.97966717772954,7.52360429764191,6.09617610985066,1.08859192242501,0.000141841544998222,0.0132671788779322
"3",3912998,3914685,1688,"*",6.47019772644902,7.06312069673866,5.44604933050639,1.16173307876971,0.000143992142702767,0.0133253638517914
"4",146322407,146323658,1252,"*",6.85977796848136,7.42838457182769,5.90776168288178,1.12618218722628,0.000144470139636949,0.0133253638517914
"16",89367876,89371631,3756,"*",7.74709611272368,6.91717364908213,8.27059837681448,-1.0549546138769,0.000145559409568487,0.0133332419164734
"5",176172907,176173154,248,"*",6.29751178532428,6.89890924974721,5.24705277091919,1.17170999918888,0.000148331289115312,0.0133914277028408
"X",154530854,154534504,3651,"*",7.71200020818351,6.86343893914861,8.24273192860301,-1.06630146267912,0.000149360430936494,0.0133914277028408
"X",138623204,138623429,226,"*",7.14760980624318,7.67917521575754,6.29687751181587,1.06673530345051,0.000149938979759165,0.0133914277028408
